inseecommuneprinc,referenceprel,dateprel,conclusionprel,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
64445,06400221359,2025-12-30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64467,06400221357,2025-12-30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64024,06400221358,2025-12-29,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,S,C,S,C
64102,06400221356,2025-12-29,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64522,06400221327,2025-12-24,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Teneur en désinfectant (chlore) insuffisante.,C,C,C,C
64320,06400221355,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64531,06400221346,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64049,06400221353,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64441,06400221348,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64520,06400221330,2025-12-23,Eau d'alimentation conforme aux limites de qualité. Eau peu minéralisée susceptible d'être agressive pour les canalisations.,C,C,C,N
64268,06400221347,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64556,06400221345,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64125,06400221352,2025-12-23,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Teneur en désinfectant (chlore) insuffisante.,C,C,C,C
64204,06400221321,2025-12-22,Eau d'alimentation conforme aux limites de qualité. On constate cependant la présence de bactéries coliformes. Eau peu minéralisée susceptible d'être agressive pour les canalisations.,C,C,N,N
64375,06400221316,2025-12-22,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. Teneur en désinfectant (chlore) élevée.,C,C,C,C
64260,06400221328,2025-12-22,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64275,06400221335,2025-12-22,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,C,C,C,C
64485,06400221322,2025-12-22,"Eau d'alimentation conforme aux limites de qualité. Conductivité et pH inférieurs aux valeurs minimales de référence. Eau acide et peu minéralisée, favorisant la dégradation des installations (canalisations ...) et pouvant induire la dissolution d'éléments indésirables (plomb, cuivre, nickel ...).",C,C,C,N
