cddept,inseecommuneprinc,nomcommuneprinc
084,26135,FERRASSIERES
084,26188,MOLLANS-SUR-OUVEZE
084,84001,ALTHEN-DES-PALUDS
084,84002,ANSOUIS
084,84003,APT
084,84004,AUBIGNAN
084,84005,AUREL
084,84006,AURIBEAU
084,84007,AVIGNON
084,84008,BARROUX (LE)
084,84009,BASTIDE-DES-JOURDANS (LA)
084,84010,BASTIDONNE (LA)
084,84011,BEAUCET (LE)
084,84012,BEAUMES-DE-VENISE
084,84013,BEAUMETTES
084,84014,BEAUMONT-DE-PERTUIS
084,84015,BEAUMONT-DU-VENTOUX
084,84016,BEDARRIDES
084,84017,BEDOIN
084,84018,BLAUVAC
084,84019,BOLLENE
084,84020,BONNIEUX
084,84021,BRANTES
084,84022,BUISSON
084,84023,BUOUX
084,84024,CABRIERES-D'AIGUES
084,84025,CABRIERES-D'AVIGNON
084,84026,CADENET
084,84027,CADEROUSSE
084,84028,CAIRANNE
084,84029,CAMARET-SUR-AIGUES
084,84030,CAROMB
084,84031,CARPENTRAS
084,84032,CASENEUVE
084,84033,CASTELLET
084,84034,CAUMONT-SUR-DURANCE
084,84035,CAVAILLON
084,84036,CHATEAUNEUF-DE-GADAGNE
084,84037,CHATEAUNEUF-DU-PAPE
084,84038,CHEVAL-BLANC
084,84039,COURTHEZON
084,84040,CRESTET
084,84041,CRILLON-LE-BRAVE
084,84042,CUCURON
084,84043,ENTRAIGUES-SUR-LA-SORGUE
084,84044,ENTRECHAUX
084,84045,FAUCON
084,84046,FLASSAN
084,84047,GARGAS
084,84048,GIGNAC
084,84049,GIGONDAS
084,84050,GORDES
084,84051,GOULT
084,84052,GRAMBOIS
084,84053,GRILLON
084,84054,ISLE-SUR-LA-SORGUE (L')
084,84055,JONQUERETTES
084,84056,JONQUIERES
084,84057,JOUCAS
084,84058,LACOSTE
084,84059,LAFARE
084,84060,LAGARDE-D'APT
084,84061,LAGARDE-PAREOL
084,84062,LAGNES
084,84063,LAMOTTE-DU-RHONE
084,84064,LAPALUD
084,84065,LAURIS
084,84066,LIOUX
084,84067,LORIOL-DU-COMTAT
084,84068,LOURMARIN
084,84069,MALAUCENE
084,84070,MALEMORT-DU-COMTAT
084,84071,MAUBEC
084,84072,MAZAN
084,84073,MENERBES
084,84074,MERINDOL
084,84075,METHAMIS
084,84076,MIRABEAU
084,84077,MODENE
084,84078,MONDRAGON
084,84079,MONIEUX
084,84080,MONTEUX
084,84081,MORIERES-LES-AVIGNON
084,84082,MORMOIRON
084,84083,MORNAS
084,84084,MOTTE-D'AIGUES (LA)
084,84085,MURS
084,84086,OPPEDE
084,84087,ORANGE
084,84088,PERNES-LES-FONTAINES
084,84089,PERTUIS
084,84090,PEYPIN-D'AIGUES
084,84091,PIOLENC
084,84092,PONTET (LE)
084,84093,PUGET
084,84094,PUYMERAS
084,84095,PUYVERT
084,84096,RASTEAU
084,84097,RICHERENCHES
084,84098,ROAIX
084,84099,ROBION
084,84100,ROQUE-ALRIC (LA)
084,84101,ROQUE-SUR-PERNES (LA)
084,84102,ROUSSILLON
084,84103,RUSTREL
084,84104,SABLET
084,84105,SAIGNON
084,84106,SAINTE-CECILE-LES-VIGNES
084,84107,SAINT-CHRISTOL
084,84108,SAINT-DIDIER
084,84109,SAINT-HIPPOLYTE-LE-GRAVEYRON
084,84110,SAINT-LEGER-DU-VENTOUX
084,84111,SAINT-MARCELLIN-LES-VAISON
084,84112,SAINT-MARTIN-DE-CASTILLON
084,84113,SAINT-MARTIN-DE-LA-BRASQUE
084,84114,SAINT-PANTALEON
084,84115,SAINT-PIERRE-DE-VASSOLS
084,84116,SAINT-ROMAIN-EN-VIENNOIS
084,84117,SAINT-ROMAN-DE-MALEGARDE
084,84118,SAINT-SATURNIN-LES-APT
084,84119,SAINT-SATURNIN-LES-AVIGNON
084,84120,SAINT-TRINIT
084,84121,SANNES
084,84122,SARRIANS
084,84123,SAULT
084,84124,SAUMANE-DE-VAUCLUSE
084,84125,SAVOILLAN
084,84126,SEGURET
084,84127,SERIGNAN-DU-COMTAT
084,84128,SIVERGUES
084,84129,SORGUES
084,84130,SUZETTE
084,84131,TAILLADES
084,84132,THOR (LE)
084,84133,TOUR-D'AIGUES (LA)
084,84134,TRAVAILLAN
084,84135,UCHAUX
084,84136,VACQUEYRAS
084,84137,VAISON-LA-ROMAINE
084,84138,VALREAS
084,84139,FONTAINE-DE-VAUCLUSE
084,84140,VAUGINES
084,84141,VEDENE
084,84142,VELLERON
084,84143,VENASQUE
084,84144,VIENS
084,84145,VILLARS
084,84146,VILLEDIEU
084,84147,VILLELAURE
084,84148,VILLES-SUR-AUZON
084,84149,VIOLES
084,84150,VISAN
084,84151,VITROLLES-EN-LUBERON
