cddept,inseecommuneprinc,nomcommuneprinc
065,65001,ADAST
065,65002,ADE
065,65003,ADERVIELLE-POUCHERGUES
065,65004,AGOS-VIDALOS
065,65005,ALLIER
065,65006,ANCIZAN
065,65007,ANDREST
065,65009,ANERES
065,65010,ANGOS
065,65011,ANGLES (LES)
065,65012,ANLA
065,65013,ANSOST
065,65014,ANTICHAN
065,65015,ANTIN
065,65016,ANTIST
065,65017,ARAGNOUET
065,65018,ARBEOST
065,65019,ARCIZAC-ADOUR
065,65020,ARCIZAC-EZ-ANGLES
065,65021,ARCIZANS-AVANT
065,65022,ARCIZANS-DESSUS
065,65023,ARDENGOST
065,65024,ARGELES-BAGNERES
065,65025,ARGELES-GAZOST
065,65026,ARIES-ESPENAN
065,65028,ARNE
065,65029,ARRAS-EN-LAVEDAN
065,65031,ARREAU
065,65032,ARRENS-MARSOUS
065,65033,ARRODETS-EZ-ANGLES
065,65034,ARRODETS
065,65035,ARTAGNAN
065,65036,ARTALENS-SOUIN
065,65037,ARTIGUEMY
065,65038,ARTIGUES
065,65039,ASPIN-AURE
065,65040,ASPIN-EN-LAVEDAN
065,65041,ASQUE
065,65042,ASTE
065,65043,ASTUGUE
065,65044,AUBAREDE
065,65045,AUCUN
065,65046,AULON
065,65047,AUREILHAN
065,65048,AURENSAN
065,65049,AURIEBAT
065,65050,AVAJAN
065,65051,AVENTIGNAN
065,65052,AVERAN
065,65053,AVEUX
065,65054,AVEZAC-PRAT-LAHITTE
065,65055,AYROS-ARBOUIX
065,65056,AYZAC-OST
065,65057,AZEREIX
065,65058,AZET
065,65059,BAGNERES-DE-BIGORRE
065,65060,BANIOS
065,65061,BARBACHEN
065,65062,BARBAZAN-DEBAT
065,65063,BARBAZAN-DESSUS
065,65064,BAREILLES
065,65065,BARLEST
065,65066,BARRANCOUEU
065,65067,BARRY
065,65068,BARTHE
065,65069,BARTHE-DE-NESTE (LA)
065,65070,BARTRES
065,65071,BATSERE
065,65072,BAZET
065,65073,BAZILLAC
065,65074,BAZORDAN
065,65075,BAZUS-AURE
065,65076,BAZUS-NESTE
065,65077,BEAUCENS
065,65078,BEAUDEAN
065,65079,BEGOLE
065,65080,BENAC
065,65081,BENQUE-MOLERE
065,65082,BERBERUST-LIAS
065,65083,BERNAC-DEBAT
065,65084,BERNAC-DESSUS
065,65085,BERNADETS-DEBAT
065,65086,BERNADETS-DESSUS
065,65087,BERTREN
065,65088,BETBEZE
065,65089,BETPOUEY
065,65090,BETPOUY
065,65091,BETTES
065,65092,BEYREDE-JUMET-CAMOUS
065,65093,BIZE
065,65094,BIZOUS
065,65095,BONNEFONT
065,65096,BONNEMAZON
065,65097,BONREPOS
065,65098,BOO-SILHEN
065,65099,BORDERES-LOURON
065,65100,BORDERES-SUR-L'ECHEZ
065,65101,BORDES
