cddept,inseecommuneprinc,nomcommuneprinc
083,83001,ADRETS-DE-L'ESTEREL (LES)
083,83002,AIGUINES
083,83003,AMPUS
083,83004,ARCS (LES)
083,83005,ARTIGNOSC-SUR-VERDON
083,83006,ARTIGUES
083,83007,AUPS
083,83008,BAGNOLS-EN-FORET
083,83009,BANDOL
083,83010,BARGEME
083,83011,BARGEMON
083,83012,BARJOLS
083,83013,BASTIDE (LA)
083,83014,BAUDINARD-SUR-VERDON
083,83015,BAUDUEN
083,83016,BEAUSSET (LE)
083,83017,BELGENTIER
083,83018,BESSE-SUR-ISSOLE
083,83019,BORMES-LES-MIMOSAS
083,83020,BOURGUET (LE)
083,83021,BRAS
083,83022,BRENON
083,83023,BRIGNOLES
083,83025,BRUE-AURIAC
083,83026,CABASSE
083,83027,CADIERE-D'AZUR (LA)
083,83028,CALLAS
083,83029,CALLIAN
083,83030,CAMPS-LA-SOURCE
083,83031,CANNET-DES-MAURES (LE)
083,83032,CARCES
083,83033,CARNOULES
083,83034,CARQUEIRANNE
083,83035,CASTELLET (LE)
083,83036,CAVALAIRE-SUR-MER
083,83037,CELLE (LA)
083,83038,CHATEAUDOUBLE
083,83039,CHATEAUVERT
083,83040,CHATEAUVIEUX
083,83041,CLAVIERS
083,83042,COGOLIN
083,83043,COLLOBRIERES
083,83044,COMPS-SUR-ARTUBY
083,83045,CORRENS
083,83046,COTIGNAC
083,83048,CROIX-VALMER (LA)
083,83049,CUERS
083,83050,DRAGUIGNAN
083,83051,ENTRECASTEAUX
083,83052,ESPARRON
083,83053,EVENOS
083,83054,FARLEDE (LA)
083,83055,FAYENCE
083,83056,FIGANIERES
083,83057,FLASSANS-SUR-ISSOLE
083,83058,FLAYOSC
083,83059,FORCALQUEIRET
083,83060,FOX-AMPHOUX
083,83061,FREJUS
083,83062,GARDE (LA)
083,83063,GARDE-FREINET (LA)
083,83064,GAREOULT
083,83065,GASSIN
083,83066,GINASSERVIS
083,83067,GONFARON
083,83068,GRIMAUD
083,83069,HYERES
083,83070,LAVANDOU (LE)
083,83071,LONDE-LES-MAURES (LA)
083,83072,LORGUES
083,83073,LUC (LE)
083,83074,MARTRE (LA)
083,83075,MAYONS (LES)
083,83076,MAZAUGUES
083,83077,MEOUNES-LES-MONTRIEUX
083,83078,MOISSAC-BELLEVUE
083,83079,MOLE (LA)
083,83080,MONS
083,83081,MONTAUROUX
083,83082,MONTFERRAT
083,83083,MONTFORT-SUR-ARGENS
083,83084,MONTMEYAN
083,83085,MOTTE (LA)
083,83086,MUY (LE)
083,83087,NANS-LES-PINS
083,83088,NEOULES
083,83089,OLLIERES
083,83090,OLLIOULES
083,83091,PIERREFEU-DU-VAR
083,83092,PIGNANS
083,83093,PLAN-D'AUPS-SAINTE-BAUME
083,83094,PLAN-DE-LA-TOUR (LE)
083,83095,PONTEVES
083,83096,POURCIEUX
083,83097,POURRIERES
083,83098,PRADET (LE)
083,83099,PUGET-SUR-ARGENS
083,83100,PUGET-VILLE
083,83101,RAMATUELLE
083,83102,REGUSSE
083,83103,REVEST-LES-EAUX (LE)
083,83104,RIANS
083,83105,RIBOUX
083,83106,ROCBARON
083,83107,ROQUEBRUNE-SUR-ARGENS
083,83108,ROQUEBRUSSANNE (LA)
083,83109,ROQUE-ESCLAPON (LA)
083,83110,ROUGIERS
083,83111,SAINTE-ANASTASIE-SUR-ISSOLE
083,83112,SAINT-CYR-SUR-MER
083,83113,SAINT-JULIEN
083,83114,SAINT-MARTIN-DE-PALLIERES
083,83115,SAINTE-MAXIME
083,83116,SAINT-MAXIMIN-LA-SAINTE-BAUME
083,83117,SAINT-PAUL-EN-FORET
083,83118,SAINT-RAPHAEL
083,83119,SAINT-TROPEZ
083,83120,SAINT-ZACHARIE
083,83121,SALERNES
083,83122,SALLES-SUR-VERDON (LES)
083,83123,SANARY-SUR-MER
083,83124,SEILLANS
083,83125,SEILLONS-SOURCE-D'ARGENS
083,83126,SEYNE-SUR-MER (LA)
083,83127,SIGNES
083,83128,SILLANS-LA-CASCADE
083,83129,SIX-FOURS-LES-PLAGES
083,83130,SOLLIES-PONT
083,83131,SOLLIES-TOUCAS
083,83132,SOLLIES-VILLE
083,83133,TANNERON
083,83134,TARADEAU
083,83135,TAVERNES
083,83136,THORONET (LE)
083,83137,TOULON
083,83138,TOURRETTES
083,83139,TOURTOUR
083,83140,TOURVES
083,83141,TRANS-EN-PROVENCE
083,83142,TRIGANCE
083,83143,VAL (LE)
083,83144,VALETTE-DU-VAR (LA)
083,83145,VARAGES
083,83146,VERDIERE (LA)
083,83147,VERIGNON
083,83148,VIDAUBAN
083,83149,VILLECROZE
083,83150,VINON-SUR-VERDON
083,83151,VINS-SUR-CARAMY
083,83152,RAYOL-CANADEL-SUR-MER
083,83153,SAINT-MANDRIER-SUR-MER
083,83154,SAINT-ANTONIN-DU-VAR
