cddept,inseecommuneprinc,nomcommuneprinc
094,77122,COMBS-LA-VILLE
094,77373,PONTAULT-COMBAULT
094,91657,VIGNEUX-SUR-SEINE
094,91691,YERRES
094,93051,NOISY-LE-GRAND
094,94001,ABLON-SUR-SEINE
094,94002,ALFORTVILLE
094,94003,ARCUEIL
094,94004,BOISSY-SAINT-LEGER
094,94011,BONNEUIL-SUR-MARNE
094,94015,BRY-SUR-MARNE
094,94016,CACHAN
094,94017,CHAMPIGNY-SUR-MARNE
094,94018,CHARENTON-LE-PONT
094,94019,CHENNEVIERES-SUR-MARNE
094,94021,CHEVILLY-LARUE
094,94022,CHOISY-LE-ROI
094,94028,CRETEIL
094,94033,FONTENAY-SOUS-BOIS
094,94034,FRESNES
094,94037,GENTILLY
094,94038,HAY-LES-ROSES (L')
094,94041,IVRY-SUR-SEINE
094,94042,JOINVILLE-LE-PONT
094,94043,KREMLIN-BICETRE (LE)
094,94044,LIMEIL-BREVANNES
094,94046,MAISONS-ALFORT
094,94047,MANDRES-LES-ROSES
094,94048,MAROLLES-EN-BRIE
094,94052,NOGENT-SUR-MARNE
094,94053,NOISEAU
094,94054,ORLY
094,94055,ORMESSON-SUR-MARNE
094,94056,PERIGNY
094,94058,PERREUX-SUR-MARNE (LE)
094,94059,PLESSIS-TREVISE (LE)
094,94060,QUEUE-EN-BRIE (LA)
094,94065,RUNGIS
094,94067,SAINT-MANDE
094,94068,SAINT-MAUR-DES-FOSSES
094,94069,SAINT-MAURICE
094,94070,SANTENY
094,94071,SUCY-EN-BRIE
094,94073,THIAIS
094,94074,VALENTON
094,94075,VILLECRESNES
094,94076,VILLEJUIF
094,94077,VILLENEUVE-LE-ROI
094,94078,VILLENEUVE-SAINT-GEORGES
094,94079,VILLIERS-SUR-MARNE
094,94080,VINCENNES
094,94081,VITRY-SUR-SEINE
