cddept,inseecommuneprinc,nomcommuneprinc
090,90001,ANDELNANS
090,90002,ANGEOT
090,90003,ANJOUTEY
090,90004,ARGIESANS
090,90005,AUXELLES-BAS
090,90006,AUXELLES-HAUT
090,90007,BANVILLARS
090,90008,BAVILLIERS
090,90009,BEAUCOURT
090,90010,BELFORT
090,90011,BERMONT
090,90012,BESSONCOURT
090,90014,BORON
090,90015,BOTANS
090,90016,BOURG-SOUS-CHATELET
090,90017,BOUROGNE
090,90018,BREBOTTE
090,90019,BRETAGNE
090,90020,BUC
090,90021,CHARMOIS
090,90022,CHATENOIS-LES-FORGES
090,90023,CHAUX
090,90024,CHAVANATTE
090,90025,CHAVANNES-LES-GRANDS
090,90026,CHEVREMONT
090,90027,COURCELLES
090,90028,COURTELEVANT
090,90029,CRAVANCHE
090,90030,CROIX
090,90031,CUNELIERES
090,90032,DANJOUTIN
090,90033,DELLE
090,90034,DENNEY
090,90035,DORANS
090,90036,EGUENIGUE
090,90037,ELOIE
090,90039,ESSERT
090,90041,ETUEFFONT
090,90042,EVETTE-SALBERT
090,90043,FAVEROIS
090,90044,FELON
090,90045,FECHE-L'EGLISE
090,90046,FLORIMONT
090,90047,FONTAINE
090,90048,FONTENELLE
090,90049,FOUSSEMAGNE
090,90050,FRAIS
090,90051,FROIDEFONTAINE
090,90052,GIROMAGNY
090,90053,GRANDVILLARS
090,90054,GROSMAGNY
090,90055,GROSNE
090,90056,JONCHEREY
090,90057,LACHAPELLE-SOUS-CHAUX
090,90058,LACHAPELLE-SOUS-ROUGEMONT
090,90059,LACOLLONGE
090,90060,LAGRANGE
090,90062,LARIVIERE
090,90063,LEBETAIN
090,90064,LEPUIX-NEUF
090,90065,LEPUIX
090,90066,LEVAL
090,90067,MENONCOURT
090,90068,MEROUX-MOVAL
090,90069,MEZIRE
090,90070,MONTBOUTON
090,90071,MONTREUX-CHATEAU
090,90072,MORVILLARS
090,90074,NOVILLARD
090,90075,OFFEMONT
090,90076,PEROUSE
090,90077,PETIT-CROIX
090,90078,PETITEFONTAINE
090,90079,PETITMAGNY
090,90080,PHAFFANS
090,90081,RECHESY
090,90082,AUTRECHENE
090,90083,RECOUVRANCE
090,90084,REPPE
090,90085,RIERVESCEMONT
090,90086,ROMAGNY-SOUS-ROUGEMONT
090,90087,ROPPE
090,90088,ROUGEGOUTTE
090,90089,ROUGEMONT-LE-CHATEAU
090,90090,SAINT-DIZIER-L'EVEQUE
090,90091,SAINT-GERMAIN-LE-CHATELET
090,90093,SERMAMAGNY
090,90094,SEVENANS
090,90095,SUARCE
090,90096,THIANCOURT
090,90097,TREVENANS
090,90098,URCEREY
090,90099,VALDOIE
090,90100,VAUTHIERMONT
090,90101,VELLESCOT
090,90102,VESCEMONT
090,90103,VETRIGNE
090,90104,VEZELOIS
090,90105,VILLARS-LE-SEC
