cddept,inseecommuneprinc,nomcommuneprinc
092,78029,AUBERGENVILLE
092,78190,CROISSY-SUR-SEINE
092,78350,LOUVECIENNES
092,92002,ANTONY
092,92004,ASNIERES-SUR-SEINE
092,92007,BAGNEUX
092,92009,BOIS-COLOMBES
092,92012,BOULOGNE-BILLANCOURT
092,92014,BOURG-LA-REINE
092,92019,CHATENAY-MALABRY
092,92020,CHATILLON
092,92022,CHAVILLE
092,92023,CLAMART
092,92024,CLICHY
092,92025,COLOMBES
092,92026,COURBEVOIE
092,92032,FONTENAY-AUX-ROSES
092,92033,GARCHES
092,92035,GARENNE-COLOMBES (LA)
092,92036,GENNEVILLIERS
092,92040,ISSY-LES-MOULINEAUX
092,92044,LEVALLOIS-PERRET
092,92046,MALAKOFF
092,92047,MARNES-LA-COQUETTE
092,92048,MEUDON
092,92049,MONTROUGE
092,92050,NANTERRE
092,92051,NEUILLY-SUR-SEINE
092,92060,PLESSIS-ROBINSON (LE)
092,92062,PUTEAUX
092,92063,RUEIL-MALMAISON
092,92064,SAINT-CLOUD
092,92071,SCEAUX
092,92072,SEVRES
092,92073,SURESNES
092,92075,VANVES
092,92076,VAUCRESSON
092,92077,VILLE-D'AVRAY
092,92078,VILLENEUVE-LA-GARENNE
092,93050,NEUILLY-SUR-MARNE
092,94022,CHOISY-LE-ROI
092,95394,MERY-SUR-OISE
