cddept,inseecommuneprinc,nomcommuneprinc
011,11001,AIGUES-VIVES
011,11002,AIROUX
011,11003,AJAC
011,11004,ALAIGNE
011,11005,ALAIRAC
011,11006,ALBAS
011,11007,ALBIERES
011,11008,ALET-LES-BAINS
011,11009,ALZONNE
011,11010,ANTUGNAC
011,11011,ARAGON
011,11012,ARGELIERS
011,11013,ARGENS-MINERVOIS
011,11014,ARMISSAN
011,11015,ARQUES
011,11016,ARQUETTES-EN-VAL
011,11017,ARTIGUES
011,11018,ARZENS
011,11019,AUNAT
011,11020,AURIAC
011,11021,AXAT
011,11022,AZILLE
011,11023,BADENS
011,11024,BAGES
011,11025,BAGNOLES
011,11026,BARAIGNE
011,11027,BARBAIRA
011,11028,BELCAIRE
011,11029,BELCASTEL-ET-BUC
011,11030,BELFLOU
011,11031,BELFORT-SUR-REBENTY
011,11032,BELLEGARDE-DU-RAZES
011,11033,BELPECH
011,11034,BELVEZE-DU-RAZES
011,11035,BELVIANES-ET-CAVIRAC
011,11036,BELVIS
011,11037,BERRIAC
011,11038,BESSEDE-DE-SAULT
011,11039,BEZOLE (LA)
011,11040,BIZANET
011,11041,BIZE-MINERVOIS
011,11042,BLOMAC
011,11043,BOUILHONNAC
011,11044,BOUISSE
011,11045,BOURIEGE
011,11046,BOURIGEOLE
011,11047,BOUSQUET (LE)
011,11048,BOUTENAC
011,11049,BRAM
011,11051,BREZILHAC
011,11052,BROUSSES-ET-VILLARET
011,11053,BRUGAIROLLES
011,11054,BRUNELS (LES)
011,11055,BUGARACH
011,11056,CABRESPINE
011,11057,CAHUZAC
011,11058,CAILHAU
011,11059,CAILHAVEL
011,11060,CAILLA
011,11061,CAMBIEURE
011,11062,CAMPAGNA-DE-SAULT
011,11063,CAMPAGNE-SUR-AUDE
011,11064,CAMPLONG-D'AUDE
011,11065,CAMPS-SUR-L'AGLY
011,11066,CAMURAC
011,11067,CANET
011,11068,CAPENDU
011,11069,CARCASSONNE
011,11070,CARLIPA
011,11071,CASCASTEL-DES-CORBIERES
011,11072,CASSAIGNE (LA)
011,11073,CASSAIGNES
011,11074,CASSES (LES)
011,11075,CASTANS
011,11076,CASTELNAUDARY
011,11077,CASTELNAU-D'AUDE
011,11078,CASTELRENG
011,11079,CAUDEBRONDE
011,11080,VAL DE LAMBRONNE
011,11081,CAUNES-MINERVOIS
011,11083,CAUNETTES-EN-VAL
011,11084,CAUX-ET-SAUZENS
011,11085,CAVANAC
011,11086,CAVES
011,11087,CAZALRENOUX
011,11088,CAZILHAC
011,11089,CENNE-MONESTIES
011,11090,CEPIE
011,11091,CHALABRE
011,11092,CITOU
011,11093,CLAT (LE)
011,11094,CLERMONT-SUR-LAUQUET
011,11095,COMIGNE
011,11096,COMUS
011,11098,CONILHAC-CORBIERES
011,11099,CONQUES-SUR-ORBIEL
011,11100,CORBIERES
011,11101,COUDONS
011,11102,COUFFOULENS
011,11103,COUIZA
011,11104,COUNOZOULS
011,11105,COURNANEL
011,11106,COURSAN
011,11107,COURTAULY
011,11108,COURTETE (LA)
011,11109,COUSTAUSSA
011,11110,COUSTOUGE
011,11111,CRUSCADES
011,11112,CUBIERES-SUR-CINOBLE
011,11113,CUCUGNAN
011,11114,CUMIES
011,11115,CUXAC-CABARDES
