cddept,inseecommuneprinc,nomcommuneprinc
971,97101,ABYMES (LES)
971,97102,ANSE-BERTRAND
971,97103,BAIE-MAHAULT
971,97104,BAILLIF
971,97105,BASSE-TERRE
971,97106,BOUILLANTE
971,97107,CAPESTERRE-BELLE-EAU
971,97108,CAPESTERRE-DE-MARIE-GALANTE
971,97109,GOURBEYRE
971,97110,DESIRADE (LA)
971,97111,DESHAIES
971,97112,GRAND-BOURG
971,97113,GOSIER (LE)
971,97114,GOYAVE
971,97115,LAMENTIN
971,97116,MORNE-A-L'EAU
971,97117,MOULE (LE)
971,97118,PETIT-BOURG
971,97119,PETIT-CANAL
971,97120,POINTE-A-PITRE
971,97121,POINTE-NOIRE
971,97122,PORT-LOUIS
971,97124,SAINT-CLAUDE
971,97125,SAINT-FRANCOIS
971,97126,SAINT-LOUIS
971,97128,SAINTE-ANNE
971,97129,SAINTE-ROSE
971,97130,TERRE-DE-BAS
971,97131,TERRE-DE-HAUT
971,97132,TROIS-RIVIERES
971,97133,VIEUX-FORT
971,97134,VIEUX-HABITANTS
971,97701,SAINT-BARTHELEMY
971,97801,SAINT-MARTIN
