cddept,inseecommuneprinc,nomcommuneprinc
023,23206,SAINT-LAURENT
023,23207,SAINT-LEGER-BRIDEREIX
023,23208,SAINT-LEGER-LE-GUERETOIS
023,23209,SAINT-LOUP
023,23210,SAINT-MAIXANT
023,23211,SAINT-MARC-A-FRONGIER
023,23212,SAINT-MARC-A-LOUBAUD
023,23213,SAINT-MARIEN
023,23214,SAINT-MARTIAL-LE-MONT
023,23215,SAINT-MARTIAL-LE-VIEUX
023,23216,SAINT-MARTIN-CHATEAU
023,23217,SAINT-MARTIN-SAINTE-CATHERINE
023,23218,SAINT-MAURICE-PRES-CROCQ
023,23219,SAINT-MAURICE-LA-SOUTERRAINE
023,23220,SAINT-MEDARD-LA-ROCHETTE
023,23221,SAINT-MERD-LA-BREUILLE
023,23222,SAINT-MICHEL-DE-VEISSE
023,23223,SAINT-MOREIL
023,23224,SAINT-ORADOUX-DE-CHIROUZE
023,23225,SAINT-ORADOUX-PRES-CROCQ
023,23226,SAINT-PARDOUX-D'ARNET
023,23227,SAINT-PARDOUX-MORTEROLLES
023,23228,SAINT-PARDOUX-LE-NEUF
023,23229,SAINT-PARDOUX-LES-CARDS
023,23230,SAINT-PIERRE-CHERIGNAT
023,23232,SAINT-PIERRE-BELLEVUE
023,23233,SAINT-PIERRE-LE-BOST
023,23234,SAINT-PRIEST
023,23235,SAINT-PRIEST-LA-FEUILLE
023,23236,SAINT-PRIEST-LA-PLAINE
023,23237,SAINT-PRIEST-PALUS
023,23238,SAINT-QUENTIN-LA-CHABANNE
023,23239,SAINT-SEBASTIEN
023,23240,SAINT-SILVAIN-BAS-LE-ROC
023,23241,SAINT-SILVAIN-BELLEGARDE
023,23242,SAINT-SILVAIN-MONTAIGUT
023,23243,SAINT-SILVAIN-SOUS-TOULX
023,23244,SAINT-SULPICE-LE-DUNOIS
023,23245,SAINT-SULPICE-LE-GUERETOIS
023,23246,SAINT-SULPICE-LES-CHAMPS
023,23247,SAINT-VAURY
023,23248,SAINT-VICTOR-EN-MARCHE
023,23249,SAINT-YRIEIX-LA-MONTAGNE
023,23250,SAINT-YRIEIX-LES-BOIS
023,23251,TARDES
023,23252,TERCILLAT
023,23253,THAURON
023,23254,TOULX-SAINTE-CROIX
023,23255,TROIS-FONDS
023,23257,VALLIERE
023,23258,VAREILLES
023,23259,VERNEIGES
023,23260,VIDAILLAT
023,23261,VIERSAT
023,23262,VIGEVILLE
023,23263,VILLARD
023,23264,VILLEDIEU (LA)
023,23265,VILLENEUVE (LA)
023,23266,VILLETELLE (LA)
