cddept,inseecommuneprinc,nomcommuneprinc
046,46001,ALBAS
046,46002,ALBIAC
046,46003,ALVIGNAC
046,46004,ANGLARS
046,46005,ANGLARS-JUILLAC
046,46006,ANGLARS-NOZAC
046,46007,ARCAMBAL
046,46008,ARQUES (LES)
046,46009,ASSIER
046,46010,AUJOLS
046,46011,AUTOIRE
046,46012,AYNAC
046,46013,BACH
046,46015,BAGNAC-SUR-CELE
046,46016,BALADOU
046,46017,BANNES
046,46018,BASTIT (LE)
046,46020,BEAUREGARD
046,46021,BEDUER
046,46022,BELAYE
046,46023,BELFORT-DU-QUERCY
046,46024,BELMONT-BRETENOUX
046,46026,BELMONT-SAINTE-FOI
046,46027,BERGANTY
046,46028,BETAILLE
046,46029,BIARS-SUR-CERE
046,46030,BIO
046,46031,BLARS
046,46032,BOISSIERES
046,46033,PORTE-DU-QUERCY
046,46034,BOURG (LE)
046,46035,BOUSSAC
046,46036,BOUYSSOU (LE)
046,46037,BOUZIES
046,46038,BRETENOUX
046,46039,BRENGUES
046,46040,CABRERETS
046,46041,CADRIEU
046,46042,CAHORS
046,46043,CAHUS
046,46044,CAILLAC
046,46045,CAJARC
046,46046,CALAMANE
046,46047,CALES
046,46049,CALVIGNAC
046,46050,CAMBAYRAC
046,46051,CAMBES
046,46052,CAMBOULIT
046,46053,CAMBURAT
046,46054,CANIAC-DU-CAUSSE
046,46055,CAPDENAC
046,46056,CARAYAC
046,46057,CARDAILLAC
046,46058,CARENNAC
046,46059,CARLUCET
046,46061,CASSAGNES
046,46062,CASTELFRANC
046,46063,CASTELNAU-MONTRATIER
046,46064,CATUS
046,46065,CAVAGNAC
046,46066,CAZALS
046,46068,CENEVIERES
046,46069,CEZAC
046,46070,CIEURAC
046,46072,CONCORES
046,46073,CONCOTS
046,46074,CONDAT
046,46075,CORN
046,46076,CORNAC
046,46078,COUZOU
046,46079,CRAS
046,46080,CRAYSSAC
046,46081,CREGOLS
046,46082,CREMPS
046,46083,CRESSENSAC-SARRAZAC
046,46084,CREYSSE
046,46085,CUZAC
046,46086,CUZANCE
046,46087,DEGAGNAC
046,46088,DOUELLE
046,46089,DURAVEL
046,46090,DURBANS
046,46091,ESCAMPS
046,46092,ESCLAUZELS
046,46093,ESPAGNAC-SAINTE-EULALIE
046,46094,ESPEDAILLAC
046,46095,ESPERE
046,46096,ESPEYROUX
046,46097,ESTAL
046,46098,FAJOLES
046,46100,FAYCELLES
046,46101,FELZINS
046,46102,FIGEAC
046,46103,SAINT-PAUL-FLAUGNAC
046,46104,FLAUJAC-GARE
046,46105,FLAUJAC-POUJOLS
046,46106,FLOIRAC
046,46107,FLORESSAS
046,46108,FONS
046,46109,FONTANES
046,46111,FOURMAGNAC
046,46112,FRANCOULES
046,46113,FRAYSSINET
046,46114,FRAYSSINET-LE-GELAT
046,46115,FRAYSSINHES
046,46116,FRONTENAC
046,46117,GAGNAC-SUR-CERE
046,46118,GIGNAC
046,46119,GIGOUZAC
046,46120,GINDOU
046,46121,GINOUILLAC
046,46122,GINTRAC
046,46123,GIRAC
046,46124,GLANES
046,46125,GORSES
046,46126,GOUJOUNAC
046,46127,GOURDON
046,46128,GRAMAT
046,46129,GREALOU
046,46130,GREZELS
