cddept,inseecommuneprinc,nomcommuneprinc
032,32001,AIGNAN
032,32002,ANSAN
032,32003,ANTRAS
032,32004,ARBLADE-LE-BAS
032,32005,ARBLADE-LE-HAUT
032,32007,ARDIZAS
032,32008,ARMENTIEUX
032,32009,ARMOUS-ET-CAU
032,32010,ARROUEDE
032,32012,AUBIET
032,32013,AUCH
032,32014,AUGNAX
032,32015,AUJAN-MOURNEDE
032,32016,AURADE
032,32017,AURENSAN
032,32018,AURIMONT
032,32019,AUTERIVE
032,32020,AUX-AUSSAT
032,32021,AVENSAC
032,32022,AVERON-BERGELLE
032,32023,AVEZAN
032,32024,AYGUETINTE
032,32025,AYZIEU
032,32026,BAJONNETTE
032,32027,BARCELONNE-DU-GERS
032,32028,BARCUGNAN
032,32029,BARRAN
032,32030,BARS
032,32031,BASCOUS
032,32032,BASSOUES
032,32033,BAZIAN
032,32034,BAZUGUES
032,32035,BEAUCAIRE
032,32036,BEAUMARCHES
032,32037,BEAUMONT
032,32038,BEAUPUY
032,32039,BECCAS
032,32040,BEDECHAN
032,32041,BELLEGARDE
032,32042,BELLOC-SAINT-CLAMENS
032,32043,BELMONT
032,32044,BERAUT
032,32045,BERDOUES
032,32046,BERNEDE
032,32047,BERRAC
032,32048,BETCAVE-AGUIN
032,32049,BETOUS
032,32050,BETPLAN
032,32051,BEZERIL
032,32052,BEZOLLES
032,32053,BEZUES-BAJON
032,32054,BIRAN
032,32055,BIVES
032,32056,BLANQUEFORT
032,32057,BLAZIERT
032,32058,BLOUSSON-SERIAN
032,32059,BONAS
032,32060,BOUCAGNERES
032,32061,BOULAUR
032,32062,BOURROUILLAN
032,32063,BOUZON-GELLENAVE
032,32064,BRETAGNE-D'ARMAGNAC
032,32065,BROUILH-MONBERT (LE)
032,32066,BRUGNENS
032,32068,CADEILHAN
032,32069,CADEILLAN
032,32070,CAHUZAC-SUR-ADOUR
032,32071,CAILLAVET
032,32072,CALLIAN
032,32073,CAMPAGNE-D'ARMAGNAC
032,32075,CASSAIGNE
032,32076,CASTELNAU-BARBARENS
032,32077,CASTELNAU-D'ANGLES
032,32078,CASTELNAU-D'ARBIEU
032,32079,CASTELNAU D'AUZAN LABARRERE
032,32080,CASTELNAU-SUR-L'AUVIGNON
032,32081,CASTELNAVET
032,32082,CASTERA-LECTOUROIS
032,32083,CASTERA-VERDUZAN
032,32084,CASTERON
032,32085,CASTET-ARROUY
032,32086,CASTEX
032,32087,CASTEX-D'ARMAGNAC
032,32088,CASTILLON-DEBATS
032,32089,CASTILLON-MASSAS
032,32090,CASTILLON-SAVES
032,32091,CASTIN
032,32092,CATONVIELLE
032,32093,CAUMONT
032,32094,CAUPENNE-D'ARMAGNAC
032,32095,CAUSSENS
032,32096,CAZAUBON
032,32097,CAZAUX-D'ANGLES
032,32098,CAZAUX-SAVES
032,32099,CAZAUX-VILLECOMTAL
032,32100,CAZENEUVE
032,32101,CERAN
032,32102,CEZAN
032,32103,CHELAN
032,32104,CLERMONT-POUYGUILLES
032,32105,CLERMONT-SAVES
032,32106,COLOGNE
032,32107,CONDOM
032,32108,CORNEILLAN
032,32109,COULOUME-MONDEBAT
032,32110,COURRENSAN
032,32111,COURTIES
032,32112,CRASTES
032,32113,CRAVENCERES
032,32114,CUELAS
032,32115,DEMU
032,32116,DUFFORT
032,32117,DURAN
032,32118,DURBAN
032,32119,EAUZE
032,32120,ENCAUSSE
032,32121,ENDOUFIELLE
032,32122,ESCLASSAN-LABASTIDE
032,32123,ESCORNEBOEUF
032,32124,ESPAON
032,32125,ESPAS
032,32126,ESTAMPES
032,32127,ESTANG
032,32128,ESTIPOUY
032,32129,ESTRAMIAC
032,32130,FAGET-ABBATIAL
032,32131,FLAMARENS
032,32132,FLEURANCE
032,32133,FOURCES
032,32134,FREGOUVILLE
032,32135,FUSTEROUAU
032,32136,GALIAX
032,32138,GARRAVET
032,32139,GAUDONVILLE
032,32140,GAUJAC
032,32141,GAUJAN
032,32142,GAVARRET-SUR-AULOUSTE
032,32143,GAZAUPOUY
032,32144,GAZAX-ET-BACCARISSE
032,32145,GEE-RIVIERE
032,32146,GIMBREDE
032,32147,GIMONT
032,32148,GISCARO
032,32149,GONDRIN
032,32150,GOUTZ
032,32151,GOUX
032,32152,HAGET
032,32153,HAULIES
032,32154,HOMPS
032,32155,HOUGA (LE)
032,32156,IDRAC-RESPAILLES
032,32157,ISLE-ARNE (L')
032,32158,ISLE-BOUZON (L')
032,32159,ISLE-DE-NOE (L')
032,32160,ISLE-JOURDAIN (L')
032,32161,IZOTGES
032,32162,JEGUN
032,32163,JU-BELLOC
032,32164,JUILLAC
032,32165,JUILLES
032,32166,JUSTIAN
032,32167,LAAS
032,32169,LABARTHE
032,32170,LABARTHETE
032,32171,LABASTIDE-SAVES
032,32172,LABEJAN
032,32173,LABRIHE
032,32174,LADEVEZE-RIVIERE
032,32175,LADEVEZE-VILLE
032,32176,LAGARDE
032,32177,LAGARDE-HACHAN
032,32178,LAGARDERE
032,32180,LAGRAULET-DU-GERS
032,32181,LAGUIAN-MAZOUS
032,32182,LAHAS
032,32183,LAHITTE
032,32184,LALANNE
032,32185,LALANNE-ARQUE
032,32186,LAMAGUERE
032,32187,LAMAZERE
032,32188,LAMOTHE-GOAS
032,32189,LANNEMAIGNAN
032,32190,LANNEPAX
032,32191,LANNE-SOUBIRAN
032,32192,LANNUX
032,32193,LAREE
032,32194,LARRESSINGLE
032,32195,LARROQUE-ENGALIN
032,32196,LARROQUE-SAINT-SERNIN
032,32197,LARROQUE-SUR-L'OSSE
032,32198,LARTIGUE
032,32199,LASSERADE
032,32200,LASSERAN
032,32201,LASSEUBE-PROPRE
032,32202,LAUJUZAN
032,32203,LAURAET
032,32204,LAVARDENS
032,32205,LAVERAET
032,32206,LAYMONT
032,32207,LEBOULIN
032,32208,LECTOURE
032,32209,LELIN-LAPUJOLLE
032,32210,LIAS
032,32211,LIAS-D'ARMAGNAC
032,32212,LIGARDES
032,32213,LOMBEZ
032,32214,LOUBEDAT
032,32215,LOUBERSAN
032,32216,LOURTIES-MONBRUN
032,32217,LOUSLITGES
032,32218,LOUSSOUS-DEBAT
032,32219,LUPIAC
032,32220,LUPPE-VIOLLES
032,32221,LUSSAN
032,32222,MAGNAN
032,32223,MAGNAS
032,32224,MAIGNAUT-TAUZIA
032,32225,MALABAT
032,32226,MANAS-BASTANOUS
032,32227,MANCIET
032,32228,MANENT-MONTANE
032,32229,MANSEMPUY
032,32230,MANSENCOME
032,32231,MARAMBAT
032,32232,MARAVAT
032,32233,MARCIAC
032,32234,MARESTAING
032,32235,MARGOUET-MEYMES
032,32236,MARGUESTAU
032,32237,MARSAN
032,32238,MARSEILLAN
032,32239,MARSOLAN
032,32240,MASCARAS
032,32241,MAS-D'AUVIGNON
032,32242,MASSEUBE
032,32243,MAULEON-D'ARMAGNAC
032,32244,MAULICHERES
032,32245,MAUMUSSON-LAGUIAN
032,32246,MAUPAS
032,32247,MAURENS
032,32248,MAUROUX
032,32249,MAUVEZIN
032,32250,MEILHAN
032,32251,MERENS
032,32252,MIELAN
032,32253,MIRADOUX
032,32254,MIRAMONT-D'ASTARAC
032,32255,MIRAMONT-LATOUR
032,32256,MIRANDE
032,32257,MIRANNES
032,32258,MIREPOIX
032,32261,MONBLANC
032,32262,MONBRUN
032,32263,MONCASSIN
032,32264,MONCLAR
032,32265,MONCLAR-SUR-LOSSE
032,32266,MONCORNEIL-GRAZAN
032,32267,MONFERRAN-PLAVES
032,32268,MONFERRAN-SAVES
032,32269,MONFORT
032,32270,MONGAUSY
032,32271,MONGUILHEM
032,32272,MONLAUR-BERNET
032,32273,MONLEZUN
032,32274,MONLEZUN-D'ARMAGNAC
032,32275,MONPARDIAC
032,32276,MONTADET
032,32277,MONTAMAT
032,32278,MONTAUT
032,32279,MONTAUT-LES-CRENEAUX
032,32280,MONT-D'ASTARAC
032,32281,MONT-DE-MARRAST
032,32282,MONTEGUT
032,32283,MONTEGUT-ARROS
032,32284,MONTEGUT-SAVES
032,32285,MONTESQUIOU
032,32286,MONTESTRUC-SUR-GERS
032,32287,MONTIES
032,32288,MONTIRON
032,32289,MONTPEZAT
032,32290,MONTREAL
032,32291,MORMES
032,32292,MOUCHAN
032,32293,MOUCHES
032,32294,MOUREDE
032,32295,NIZAS
032,32296,NOGARO
032,32297,NOILHAN
032,32298,NOUGAROULET
032,32299,NOULENS
032,32300,ORBESSAN
032,32301,ORDAN-LARROQUE
032,32302,ORNEZAN
032,32303,PALLANNE
032,32304,PANASSAC
032,32305,PANJAS
032,32306,PAUILHAC
032,32307,PAVIE
032,32308,PEBEES
032,32309,PELLEFIGUE
032,32310,PERCHEDE
032,32311,PERGAIN-TAILLAC
032,32312,PESSAN
032,32313,PESSOULENS
032,32314,PEYRECAVE
032,32315,PEYRUSSE-GRANDE
032,32316,PEYRUSSE-MASSAS
032,32317,PEYRUSSE-VIEILLE
032,32318,PIS
032,32319,PLAISANCE
032,32320,PLIEUX
032,32321,POLASTRON
032,32322,POMPIAC
032,32323,PONSAMPERE
032,32324,PONSAN-SOUBIRAN
032,32325,POUYDRAGUIN
032,32326,POUYLEBON
032,32327,POUY-LOUBRIN
032,32328,POUY-ROQUELAURE
032,32329,PRECHAC
032,32330,PRECHAC-SUR-ADOUR
032,32331,PREIGNAN
032,32332,PRENERON
032,32333,PROJAN
032,32334,PUJAUDRAN
032,32335,PUYCASQUIER
032,32336,PUYLAUSIC
032,32337,PUYSEGUR
032,32338,RAMOUZENS
032,32339,RAZENGUES
032,32340,REANS
032,32341,REJAUMONT
032,32342,RICOURT
032,32343,RIGUEPEU
032,32344,RISCLE
032,32345,ROMIEU (LA)
032,32346,ROQUEBRUNE
032,32347,ROQUEFORT
032,32348,ROQUELAURE
032,32349,ROQUELAURE-SAINT-AUBIN
032,32350,ROQUEPINE
032,32351,ROQUES
032,32352,ROZES
032,32353,SABAILLAN
032,32354,SABAZAN
032,32355,SADEILLAN
032,32356,SAINT-ANDRE
032,32357,SAINTE-ANNE
032,32358,SAINT-ANTOINE
032,32359,SAINT-ANTONIN
032,32360,SAINT-ARAILLES
032,32361,SAINT-ARROMAN
032,32362,SAINT-AUNIX-LENGROS
032,32363,SAINTE-AURENCE-CAZAUX
032,32364,SAINT-AVIT-FRANDAT
032,32365,CAP D'ASTARAC
032,32366,SAINT-BRES
032,32367,SAINT-CHRISTAUD
032,32368,SAINTE-CHRISTIE
032,32369,SAINTE-CHRISTIE-D'ARMAGNAC
032,32370,SAINT-CLAR
032,32371,SAINT-CREAC
032,32372,SAINT-CRICQ
032,32373,SAINTE-DODE
032,32374,SAINT-ELIX-D'ASTARAC
032,32375,SAINT-ELIX-THEUX
032,32376,SAINTE-GEMME
032,32377,SAINT-GEORGES
032,32378,SAINT-GERME
032,32379,SAINT-GERMIER
032,32380,SAINT-GRIEDE
032,32381,SAINT-JEAN-LE-COMTAL
032,32382,SAINT-JEAN-POUTGE
032,32383,SAINT-JUSTIN
032,32384,SAINT-LARY
032,32385,SAINT-LEONARD
