cddept,inseecommuneprinc,nomcommuneprinc
061,53216,SAINT-FRAIMBAULT-DE-PRIERES
061,61001,ALENCON
061,61002,ALMENECHES
061,61005,APPENAI-SOUS-BELLEME
061,61006,ARGENTAN
061,61007,ATHIS-VAL DE ROUVRE
061,61008,AUBE
061,61010,AUBRY-LE-PANTHOU
061,61011,AUBUSSON
061,61012,AUGUAISE
061,61013,AUNAY-LES-BOIS
061,61014,AUNOU-LE-FAUCON
061,61015,AUNOU-SUR-ORNE
061,61018,AVERNES-SAINT-GOURGON
061,61020,AVOINE
061,61021,AVRILLY
061,61023,BAILLEUL
061,61024,BANVOU
061,61026,BARVILLE
061,61028,BAZOCHES-AU-HOULME
061,61029,BAZOCHES-SUR-HOENE
061,61030,BAZOQUE (LA)
061,61032,BEAUFAI
061,61034,BEAULIEU
061,61035,BEAUVAIN
061,61036,BELFONDS
061,61037,BELLAVILLIERS
061,61038,BELLEME
061,61039,BELLIERE (LA)
061,61040,BELLOU-EN-HOULME
061,61041,BELLOU-LE-TRICHARD
061,61043,BERD'HUIS
061,61044,BERJOU
061,61046,BIZOU
061,61048,BOECE
061,61049,BOISSEI-LA-LANDE
061,61050,COUR-MAUGIS SUR HUISNE
061,61051,BOITRON
061,61052,BONNEFOI
061,61053,BONSMOULINS
061,61054,BOSC-RENOULT (LE)
061,61055,BOUCE
061,61056,BOUILLON (LE)
061,61060,BRETHEL
061,61061,BRETONCELLES
061,61062,BRIEUX
061,61063,BRIOUZE
061,61064,BRULLEMAIL
061,61066,BURE
061,61067,BURES
061,61068,BURSARD
061,61069,CAHAN
061,61070,CALIGNY
061,61071,CAMEMBERT
061,61072,CANAPVILLE
061,61074,CARROUGES
061,61075,CEAUCE
061,61076,CERCUEIL (LE)
061,61077,CERISE
061,61078,CERISY-BELLE-ETOILE
061,61079,CETON
061,61080,CHAHAINS
061,61081,CHAILLOUE
061,61082,CHALANGE (LE)
061,61084,CHAMPCERIE
061,61085,CHAMP-DE-LA-PIERRE (LE)
061,61086,CHAMPEAUX (LES)
061,61087,CHAMPEAUX-SUR-SARTHE
061,61088,CHAMP-HAUT
061,61089,CHAMPOSOULT
061,61091,CHAMPSECRET
061,61092,CHANDAI
061,61093,CHANU
061,61094,CHAPELLE-AU-MOINE (LA)
061,61095,CHAPELLE-BICHE (LA)
061,61096,RIVES D'ANDAINE
061,61097,CHAPELLE-MONTLIGEON (LA)
061,61098,CHAPELLE-PRES-SEES (LA)
061,61099,CHAPELLE-SOUEF (LA)
061,61100,CHAPELLE-VIEL (LA)
061,61101,CHATEAU-D'ALMENECHES (LE)
061,61102,CHATELLIER (LE)
061,61103,CHAUMONT
061,61104,CHAUX (LA)
061,61105,CHEMILLI
061,61107,CIRAL
061,61108,CISAI-SAINT-AUBIN
061,61111,COLOMBIERS
061,61113,COMBLOT
061,61114,COMMEAUX
061,61116,SABLONS SUR HUISNE
061,61117,CONDE-SUR-SARTHE
061,61118,CORBON
061,61120,COUDEHARD
061,61121,COULIMER
061,61122,COULMER
061,61123,COULONCES
061,61124,COULONCHE (LA)
061,61126,COULONGES-SUR-SARTHE
061,61129,COURGEON
061,61130,COURGEOUT
061,61133,COURTOMER
061,61137,CRAMENIL
061,61138,CROISILLES
061,61139,CROUTTES
061,61140,CRULAI
061,61141,CUISSAI
061,61142,DAME-MARIE
061,61143,DAMIGNY
061,61145,DOMFRONT EN POIRAIE
061,61146,DOMPIERRE
061,61148,DURCET
061,61149,ECHALOU
061,61150,ECHAUFFOUR
061,61151,ECORCEI
061,61152,ECORCHES
061,61153,ECOUCHE-LES-VALLEES
061,61156,ESSAY
061,61158,FAVEROLLES
061,61159,FAY
061,61160,FEINGS
061,61162,FERRIERE-AU-DOYEN (LA)
061,61163,FERRIERE-AUX-ETANGS (LA)
061,61164,FERRIERE-BECHET (LA)
061,61165,FERRIERE-BOCHARD (LA)
061,61166,FERRIERES-LA-VERRERIE
061,61167,FERTE-EN-OUCHE (LA)
061,61168,FERTE-MACE (LA)
061,61169,FLERS
061,61170,FLEURE
061,61171,FONTAINE-LES-BASSETS
061,61176,FRANCHEVILLE
061,61178,FRESNAIE-FAYEL (LA)
061,61180,FRESNAY-LE-SAMSON
061,61181,GACE
061,61182,GANDELAIN
061,61183,GAPREE
061,61187,GENETTES (LES)
061,61189,GIEL-COURTEILLES
061,61190,GINAI
061,61193,GONFRIERE (LA)
061,61194,MONTS-SUR-ORNE
061,61195,GRAIS (LE)
061,61196,BELFORET-EN-PERCHE
061,61197,GUEPREI
061,61198,GUERQUESALLES
061,61199,HABLOVILLE
061,61202,HAUTERIVE
061,61203,HELOUP
061,61206,HOME-CHAMONDOT (L')
061,61207,IGE
061,61208,IRAI
061,61209,JOUE-DU-BOIS
061,61210,JOUE-DU-PLAIN
061,61211,JUVIGNY VAL D'ANDAINE
061,61212,JUVIGNY-SUR-ORNE
061,61213,LALACELLE
061,61214,AIGLE (L')
061,61215,LALEU
061,61216,LANDE-DE-GOULT (LA)
061,61217,LANDE-DE-LOUGE (LA)
061,61218,LANDE-PATRY (LA)
061,61219,LANDE-SAINT-SIMEON (LA)
061,61221,LANDIGOU
061,61222,LANDISACQ
061,61224,LARRE
061,61225,LIGNERES
061,61227,LIGNOU
061,61228,OREE-D'ECOUVES (L')
061,61229,LOISAIL
061,61230,LONGNY LES VILLAGES
061,61232,LONLAY-L'ABBAYE
061,61233,LONLAY-LE-TESSON
061,61234,LONRAI
061,61237,LOUGE-SUR-MAIRE
061,61238,LOUVIERES-EN-AUGE
061,61240,MACE
061,61241,MADELEINE-BOUVET (LA)
061,61242,MAGE (LE)
061,61243,MAGNY-LE-DESERT
061,61244,MAHERU
061,61248,MANTILLY
061,61251,MARCHEMAISONS
061,61252,MARDILLY
061,61255,MAUVES-SUR-HUISNE
061,61256,MEDAVY
061,61257,MEHOUDIN
061,61258,MELE-SUR-SARTHE (LE)
061,61259,MENIL-BERARD (LE)
061,61260,MENIL-DE-BRIOUZE (LE)
061,61261,MENIL-BROUT (LE)
061,61262,MENIL-CIBOULT (LE)
061,61263,MENIL-ERREUX
061,61264,MENIL-FROGER
061,61265,MENIL-GONDOUIN
061,61266,MENIL-GUYON (LE)
061,61267,MENIL-HERMEI
061,61268,MENIL-HUBERT-EN-EXMES
061,61269,MENIL-HUBERT-SUR-ORNE
061,61271,MENIL-SCELLEUR (LE)
061,61272,MENIL-VICOMTE (LE)
061,61273,MENIL-VIN
061,61274,MENUS (LES)
061,61275,MERLERAULT-LE-PIN
061,61276,MERRI
061,61277,MESNIERE (LA)
061,61278,MESSEI
061,61279,MIEUXCE
061,61281,MONCY
061,61283,MONTABARD
061,61284,MONTCHEVREL
061,61286,MONTGAUDRY
061,61287,MONTILLY-SUR-NOIREAU
061,61288,MONTMERREI
061,61289,MONT-ORMEL
061,61290,MONTREUIL-AU-HOULME
061,61291,MONTREUIL-LA-CAMBE
061,61292,MONTSECRET-CLAIREFOUGERE
061,61293,MORTAGNE-AU-PERCHE
061,61294,MORTREE
061,61295,MOTTE-FOUQUET (LA)
061,61297,MOULINS-LA-MARCHE
061,61298,MOULINS-SUR-ORNE
061,61300,MOUTIERS-AU-PERCHE
061,61301,NEAUPHE-SOUS-ESSAI
061,61302,NEAUPHE-SUR-DIVE
061,61303,NECY
061,61304,NEUILLY-LE-BISSON
061,61307,NEUVILLE-SUR-TOUQUES
061,61308,NEUVY-AU-HOULME
061,61309,PERCHE EN NOCE
061,61314,OCCAGNES
061,61316,OMMOY
061,61317,ORGERES
061,61319,ORIGNY-LE-ROUX
061,61321,PACE
061,61322,PARFONDEVAL
061,61323,PAS-SAINT-L'HOMER (LE)
061,61324,PASSAIS VILLAGES
061,61326,PERROU
061,61327,PERVENCHERES
061,61328,PIN-AU-HARAS (LE)
061,61329,PIN-LA-GARENNE (LE)
061,61330,PLANCHES
061,61331,PLANTIS (LE)
061,61332,POINTEL
061,61333,PONTCHARDON
061,61336,POUVRAI
061,61339,PUTANGES-LE-LAC
061,61341,ECOUVES
061,61342,RAI
061,61344,RANES
061,61345,REMALARD EN PERCHE
061,61346,RENOUARD (LE)
061,61347,RESENLIEU
061,61348,REVEILLON
061,61349,RI
061,61350,ROCHE-MABILE (LA)
061,61351,ROIVILLE
061,61352,RONAI
061,61357,ROUPERROUX
061,61358,SAI
061,61360,SAINT-AGNAN-SUR-SARTHE
061,61361,SAINT-ANDRE-DE-BRIOUZE
061,61362,SAINT-ANDRE-DE-MESSEI
061,61363,SAINT-AQUILIN-DE-CORBION
061,61365,SAINT-AUBIN-D'APPENAI
061,61366,SAINT-AUBIN-DE-BONNEVAL
061,61367,SAINT-AUBIN-DE-COURTERAIE
061,61369,SAINT-BOMER-LES-FORGES
061,61370,SAINT-BRICE
061,61371,SAINT-BRICE-SOUS-RANES
061,61372,SAINT-CENERI-LE-GEREI
061,61373,SAINTE-CERONNE-LES-MORTAGNE
061,61374,SAINT-CHRISTOPHE-DE-CHAULIEU
061,61375,BOISCHAMPRE
061,61376,SAINT-CLAIR-DE-HALOUZE
061,61379,SAINT-CYR-LA-ROSIERE
061,61381,SAINT-DENIS-SUR-HUISNE
061,61382,SAINT-DENIS-SUR-SARTHON
061,61384,SAINT-ELLIER-LES-BOIS
061,61385,SAINT-EVROULT-DE-MONTFORT
061,61386,SAINT-EVROULT-NOTRE-DAME-DU-BOIS
061,61387,SAINT-FRAIMBAULT
061,61388,SAINT-FULGENT-DES-ORMES
061,61389,SAINTE-GAUBURGE-SAINTE-COLOMBE
061,61390,SAINT-GEORGES-D'ANNEBECQ
061,61391,SAINT-GEORGES-DES-GROSEILLERS
061,61392,SAINT-GERMAIN-D'AUNAY
061,61393,SAINT-GERMAIN-DE-CLAIREFEUILLE
061,61394,SAINT-GERMAIN-DE-LA-COUDRE
061,61395,SAINT-GERMAIN-DES-GROIS
061,61396,SAINT-GERMAIN-DE-MARTIGNY
061,61397,SAINT-GERMAIN-DU-CORBEIS
061,61398,SAINT-GERMAIN-LE-VIEUX
061,61399,SAINT-GERVAIS-DES-SABLONS
061,61400,SAINT-GERVAIS-DU-PERRON
061,61401,SAINT-GILLES-DES-MARAIS
061,61402,SAINT-HILAIRE-DE-BRIOUZE
061,61404,SAINT-HILAIRE-LE-CHATEL
061,61405,SAINT-HILAIRE-SUR-ERRE
061,61406,SAINT-HILAIRE-SUR-RISLE
061,61407,SAINTE-HONORINE-LA-CHARDONNE
061,61408,SAINTE-HONORINE-LA-GUILLAUME
061,61411,SAINT-JOUIN-DE-BLAVOU
061,61412,SAINT-JULIEN-SUR-SARTHE
061,61413,SAINT-LAMBERT-SUR-DIVE
061,61414,SAINT-LANGIS-LES-MORTAGNE
061,61415,SAINT-LEGER-SUR-SARTHE
061,61416,SAINT-LEONARD-DES-PARCS
061,61418,SAINT-MARD-DE-RENO
061,61419,SAINTE-MARGUERITE-DE-CARROUGES
061,61420,SAINTE-MARIE-LA-ROBERT
061,61421,SAINT-MARS-D'EGRENNE
061,61422,ASPRES (LES)
061,61423,SAINT-MARTIN-D'ECUBLEI
061,61424,SAINT-MARTIN-DES-LANDES
061,61425,SAINT-MARTIN-DES-PEZERITS
061,61426,SAINT-MARTIN-DU-VIEUX-BELLEME
061,61429,CHARENCEY
061,61432,SAINT-MICHEL-TUBOEUF
061,61433,SAINT-NICOLAS-DES-BOIS
061,61435,SAINT-NICOLAS-DE-SOMMAIRE
061,61436,SAINTE-OPPORTUNE
061,61438,SAINT-OUEN-DE-SECHEROUVRE
061,61439,SAINT-OUEN-LE-BRISOULT
061,61440,SAINT-OUEN-SUR-ITON
061,61442,SAINT-PATRICE-DU-DESERT
061,61443,SAINT-PAUL
061,61444,SAINT-PHILBERT-SUR-ORNE
061,61445,SAINT-PIERRE-D'ENTREMONT
061,61446,SAINT-PIERRE-DES-LOGES
061,61447,SAINT-PIERRE-DU-REGARD
061,61448,SAINT-PIERRE-LA-BRUYERE
061,61450,SAINT-QUENTIN-DE-BLAVOU
061,61451,SAINT-QUENTIN-LES-CHARDONNETS
061,61452,SAINT-ROCH-SUR-EGRENNE
061,61453,SAINT-SAUVEUR-DE-CARROUGES
061,61454,SAINTE-SCOLASSE-SUR-SARTHE
061,61456,SAINT-SULPICE-SUR-RISLE
061,61457,SAINT-SYMPHORIEN-DES-BRUYERES
061,61459,SAIRES-LA-VERRERIE
061,61460,SAP-EN-AUGE 
061,61461,SAP-ANDRE (LE)
061,61462,SARCEAUX
061,61463,MONTS D'ANDAINE (LES)
061,61464,SEES
061,61466,SELLE-LA-FORGE (LA)
061,61467,SEMALLE
061,61472,SEVIGNY
061,61473,SEVRAI
061,61474,GOUFFERN EN AUGE
061,61475,SOLIGNY-LA-TRAPPE
061,61476,SURE
061,61479,TANQUES
061,61480,TANVILLE
061,61481,TELLIERES-LE-PLESSIS
061,61482,TESSE-FROULAY
061,61483,BAGNOLES DE L'ORNE NORMANDIE
061,61484,VAL-AU-PERCHE
061,61485,TICHEVILLE
061,61486,TINCHEBRAY-BOCAGE
061,61487,TORCHAMP
061,61488,TOUQUETTES
061,61490,TOURNAI-SUR-DIVE
061,61491,TOUROUVRE AU PERCHE
061,61492,TREMONT
061,61493,TRINITE-DES-LAITIERS (LA)
061,61494,TRUN
061,61497,VALFRAMBERT
061,61498,VAUNOISE
061,61499,VENTES-DE-BOURSE (LES)
061,61500,VENTROUZE (LA)
061,61501,VERRIERES
061,61502,VIDAI
061,61503,VIEUX-PONT
061,61505,VILLEDIEU-LES-BAILLEUL
061,61507,VILLIERS-SOUS-MORTAGNE
061,61508,VIMOUTIERS
061,61510,VITRAI-SOUS-LAIGLE
061,61512,YVETEAUX (LES)
