cddept,inseecommuneprinc,nomcommuneprinc
077,60656,VARINFROY
077,77001,ACHERES-LA-FORET
077,77002,AMILLIS
077,77003,AMPONVILLE
077,77004,ANDREZEL
077,77005,ANNET-SUR-MARNE
077,77006,ARBONNE-LA-FORET
077,77007,ARGENTIERES
077,77008,ARMENTIERES-EN-BRIE
077,77009,ARVILLE
077,77010,AUBEPIERRE-OZOUER-LE-REPOS
077,77011,AUFFERVILLE
077,77012,AUGERS-EN-BRIE
077,77013,AULNOY
077,77014,AVON
077,77015,BABY
077,77016,BAGNEAUX-SUR-LOING
077,77018,BAILLY-ROMAINVILLIERS
077,77019,BALLOY
077,77020,BANNOST-VILLEGAGNON
077,77021,BARBEY
077,77022,BARBIZON
077,77023,BARCY
077,77024,BASSEVELLE
077,77025,BAZOCHES-LES-BRAY
077,77026,BEAUCHERY-SAINT-MARTIN
077,77027,BEAUMONT-DU-GATINAIS
077,77029,BEAUVOIR
077,77030,BELLOT
077,77031,BERNAY-VILBERT
077,77032,BETON-BAZOCHES
077,77034,BLANDY
077,77035,BLENNES
077,77036,BOISDON
077,77037,BOIS-LE-ROI
077,77038,BOISSETTES
077,77039,BOISSISE-LA-BERTRAND
077,77040,BOISSISE-LE-ROI
077,77041,BOISSY-AUX-CAILLES
077,77042,BOISSY-LE-CHATEL
077,77043,BOITRON
077,77044,BOMBON
077,77045,BOUGLIGNY
077,77046,BOULANCOURT
077,77047,BOULEURS
077,77048,BOURRON-MARLOTTE
077,77049,BOUTIGNY
077,77051,BRAY-SUR-SEINE
077,77052,BREAU
077,77053,BRIE-COMTE-ROBERT
077,77054,BROSSE-MONTCEAUX (LA)
077,77055,BROU-SUR-CHANTEREINE
077,77056,BURCY
077,77057,BUSSIERES
077,77058,BUSSY-SAINT-GEORGES
077,77059,BUSSY-SAINT-MARTIN
077,77060,BUTHIERS
077,77061,CANNES-ECLUSE
077,77062,CARNETIN
077,77063,CELLE-SUR-MORIN (LA)
077,77065,CELY
077,77066,CERNEUX
077,77067,CESSON
077,77068,CESSOY-EN-MONTOIS
077,77069,CHAILLY-EN-BIERE
077,77070,CHAILLY-EN-BRIE
077,77071,CHAINTREAUX
077,77072,CHALAUTRE-LA-GRANDE
077,77073,CHALAUTRE-LA-PETITE
077,77075,CHALIFERT
077,77076,CHALMAISON
077,77077,CHAMBRY
077,77078,CHAMIGNY
077,77079,CHAMPAGNE-SUR-SEINE
077,77080,CHAMPCENEST
077,77081,CHAMPDEUIL
077,77082,CHAMPEAUX
077,77083,CHAMPS-SUR-MARNE
077,77084,CHANGIS-SUR-MARNE
