cddept,inseecommuneprinc,nomcommuneprinc
043,43001,AGNAT
043,43002,AIGUILHE
043,43003,ALLEGRE
043,43004,ALLEYRAC
043,43005,ALLEYRAS
043,43006,ALLY
043,43007,ARAULES
043,43008,ARLEMPDES
043,43009,ARLET
043,43010,ARSAC-EN-VELAY
043,43011,AUBAZAT
043,43012,AUREC-SUR-LOIRE
043,43013,VISSAC-AUTEYRAC
043,43014,AUTRAC
043,43015,AUVERS
043,43016,AUZON
043,43017,AZERAT
043,43018,BAINS
043,43019,BARGES
043,43020,BAS-EN-BASSET
043,43021,BEAULIEU
043,43022,BEAUMONT
043,43023,BEAUNE-SUR-ARZON
043,43024,BEAUX
043,43025,BEAUZAC
043,43026,BELLEVUE-LA-MONTAGNE
043,43027,BERBEZIT
043,43028,BESSAMOREL
043,43029,BESSEYRE-SAINT-MARY (LA)
043,43030,BLANZAC
043,43031,BLASSAC
043,43032,BLAVOZY
043,43033,BLESLE
043,43034,BOISSET
043,43035,BONNEVAL
043,43036,BORNE
043,43037,BOUCHET-SAINT-NICOLAS (LE)
043,43038,BOURNONCLE-SAINT-PIERRE
043,43039,BRIGNON (LE)
043,43040,BRIOUDE
043,43041,BRIVES-CHARENSAC
043,43042,CAYRES
043,43043,CEAUX-D'ALLEGRE
043,43044,CERZAT
043,43045,CEYSSAC
043,43046,CHADRAC
043,43047,CHADRON
043,43048,CHAISE-DIEU (LA)
043,43049,CHAMALIERES-SUR-LOIRE
043,43050,CHAMBEZON
043,43051,CHAMBON-SUR-LIGNON (LE)
043,43052,CHAMPAGNAC-LE-VIEUX
043,43053,CHAMPCLAUSE
043,43054,CHANALEILLES
043,43055,CHANIAT
043,43056,CHANTEUGES
043,43057,CHAPELLE-BERTIN (LA)
043,43058,CHAPELLE-D'AUREC (LA)
043,43059,CHAPELLE-GENESTE (LA)
043,43060,CHARRAIX
043,43061,CHASPINHAC
043,43062,CHASPUZAC
043,43063,CHASSAGNES
043,43064,CHASSIGNOLLES
043,43065,CHASTEL
043,43066,CHAUDEYROLLES
043,43067,CHAVANIAC-LAFAYETTE
043,43068,CHAZELLES
043,43069,CHENEREILLES
043,43070,CHILHAC
043,43071,CHOMELIX
043,43072,CHOMETTE (LA)
043,43073,CISTRIERES
043,43074,COHADE
043,43075,COLLAT
043,43076,CONNANGLES
043,43077,COSTAROS
043,43078,COUBON
043,43079,COUTEUGES
043,43080,CRAPONNE-SUR-ARZON
043,43082,CRONCE
043,43083,CUBELLES
043,43084,CUSSAC-SUR-LOIRE
043,43086,DOMEYRAT
043,43087,DUNIERES
043,43088,ESPALEM
043,43089,ESPALY-SAINT-MARCEL
043,43090,ESPLANTAS-VAZEILLES 
043,43091,ESTABLES (LES)
043,43092,FAY-SUR-LIGNON
043,43093,FELINES
043,43094,FERRUSSAC
043,43095,FIX-SAINT-GENEYS
043,43096,FONTANNES
043,43097,FREYCENET-LA-CUCHE
043,43098,FREYCENET-LA-TOUR
043,43099,FRUGERES-LES-MINES
043,43100,FRUGIERES-LE-PIN
043,43101,GOUDET
043,43102,GRAZAC
043,43103,GRENIER-MONTGON
043,43104,GREZES
043,43105,JAVAUGUES
043,43106,JAX
043,43107,JOSAT
043,43108,JULLIANGES
043,43109,LAFARRE
043,43110,LAMOTHE
043,43111,LANDOS
043,43112,LANGEAC
043,43113,LANTRIAC
043,43114,LAPTE
043,43115,LAUSSONNE
043,43116,LAVAL-SUR-DOULON
043,43117,LAVAUDIEU
043,43118,LAVOUTE-CHILHAC
043,43119,LAVOUTE-SUR-LOIRE
043,43120,LEMPDES-SUR-ALLAGNON
043,43121,LEOTOING
043,43122,LISSAC
043,43123,LORLANGES
043,43124,LOUDES
043,43125,LUBILHAC
043,43126,MALREVERS
043,43127,MALVALETTE
043,43128,MALVIERES
043,43129,MAS-DE-TENCE (LE)
043,43130,MAZET-SAINT-VOY
043,43131,MAZERAT-AUROUZE
043,43132,MAZEYRAT-D'ALLIER
043,43133,MERCOEUR
043,43134,MEZERES
043,43135,MONASTIER-SUR-GAZEILLE (LE)
043,43136,MONISTROL-D'ALLIER
043,43137,MONISTROL-SUR-LOIRE
043,43138,MONLET
043,43139,MONTCLARD
043,43140,MONTEIL (LE)
043,43141,MONTFAUCON-EN-VELAY
043,43142,MONTREGARD
043,43143,MONTUSCLAT
043,43144,MOUDEYRES
043,43145,OUIDES
043,43147,PAULHAC
043,43148,PAULHAGUET
043,43149,PEBRAC
043,43150,PERTUIS (LE)
043,43151,PINOLS
043,43152,POLIGNAC
043,43153,PONT-SALOMON
043,43154,PRADELLES
043,43155,PRADES
043,43156,PRESAILLES
043,43157,PUY-EN-VELAY (LE)
043,43158,QUEYRIERES
043,43159,RAUCOULES
043,43160,RAURET
043,43162,RETOURNAC
043,43163,RIOTORD
043,43164,ROCHE-EN-REGNIER
043,43165,ROSIERES
043,43166,SAINT-ANDRE-DE-CHALENCON
043,43167,SAINT-ARCONS-D'ALLIER
043,43168,SAINT-ARCONS-DE-BARGES
043,43169,SAINT-AUSTREMOINE
043,43170,SAINT-BEAUZIRE
043,43171,SAINT-BERAIN
043,43172,SAINT-BONNET-LE-FROID
043,43173,SAINT-CHRISTOPHE-D'ALLIER
043,43174,SAINT-CHRISTOPHE-SUR-DOLAISON
043,43175,SAINT-CIRGUES
043,43177,SAINT-DIDIER-EN-VELAY
043,43178,SAINT-DIDIER-SUR-DOULON
043,43180,SAINT-ETIENNE-DU-VIGAN
043,43181,SAINT-ETIENNE-LARDEYROL
043,43182,SAINT-ETIENNE-SUR-BLESLE
043,43183,SAINTE-EUGENIE-DE-VILLENEUVE
043,43184,SAINT-FERREOL-D'AUROURE
043,43185,SAINTE-FLORINE
043,43186,SAINT-FRONT
043,43187,SAINT-GENEYS-PRES-SAINT-PAULIEN
043,43188,SAINT-GEORGES-D'AURAC
043,43189,SAINT-GEORGES-LAGRICOL
043,43190,SAINT-GERMAIN-LAPRADE
043,43191,SAINT-GERON
043,43192,SAINT-HAON
043,43193,SAINT-HILAIRE
043,43194,SAINT-HOSTIEN
043,43195,SAINT-ILPIZE
043,43196,SAINT-JEAN-D'AUBRIGOUX
043,43197,SAINT-JEAN-DE-NAY
043,43198,SAINT-JEAN-LACHALM
043,43199,SAINT-JEURES
043,43200,SAINT-JULIEN-CHAPTEUIL
043,43201,SAINT-JULIEN-D'ANCE
043,43202,SAINT-JULIEN-DES-CHAZES
043,43203,SAINT-JULIEN-DU-PINET
043,43204,SAINT-JULIEN-MOLHESABATE
043,43205,SAINT-JUST-MALMONT
043,43206,SAINT-JUST-PRES-BRIOUDE
043,43207,SAINT-LAURENT-CHABREUGES
043,43208,SAINTE-MARGUERITE
043,43210,SAINT-MARTIN-DE-FUGERES
043,43211,SAINT-MAURICE-DE-LIGNON
043,43212,SAINT-PAL-DE-CHALENCON
043,43213,SAINT-PAL-DE-MONS
043,43214,SAINT-PAL-DE-SENOUIRE
043,43215,SAINT-PAUL-DE-TARTAS
043,43216,SAINT-PAULIEN
043,43217,SAINT-PIERRE-DU-CHAMP
043,43218,SAINT-PIERRE-EYNAC
043,43219,SAINT-PREJET-ARMANDON
043,43220,SAINT-PREJET-D'ALLIER
043,43221,SAINT-PRIVAT-D'ALLIER
043,43222,SAINT-PRIVAT-DU-DRAGON
043,43223,SAINT-ROMAIN-LACHALM
043,43224,SAINTE-SIGOLENE
043,43225,SAINT-VENERAND
043,43226,SAINT-VERT
043,43227,SAINT-VICTOR-MALESCOURS
043,43228,SAINT-VICTOR-SUR-ARLANC
043,43229,SAINT-VIDAL
043,43230,SAINT-VINCENT
043,43231,SALETTES
043,43232,SALZUIT
043,43233,SANSSAC-L'EGLISE
043,43234,SAUGUES
043,43236,SEAUVE-SUR-SEMENE (LA)
043,43237,SEMBADEL
043,43238,SENEUJOLS
043,43239,SIAUGUES-SAINTE-MARIE
043,43240,SOLIGNAC-SOUS-ROCHE
043,43241,SOLIGNAC-SUR-LOIRE
043,43244,TENCE
043,43245,THORAS 
043,43246,TIRANGES
043,43247,TORSIAC
043,43249,VALPRIVAS
043,43250,VALS-LE-CHASTEL
043,43251,VALS-PRES-LE-PUY
043,43252,VARENNES-SAINT-HONORAT
043,43253,VASTRES (LES)
043,43254,VAZEILLES-LIMANDRE
043,43256,VENTEUGES
043,43257,VERGEZAC
043,43258,VERGONGHEON
043,43259,VERNASSAL
043,43260,VERNET (LE)
043,43261,VEZEZOUX
043,43262,VIEILLE-BRIOUDE
043,43263,VIELPRAT
043,43264,VILLENEUVE-D'ALLIER
043,43265,VILLETTES (LES)
043,43267,VOREY
043,43268,YSSINGEAUX
043,63412,SAUVESSANGES
