cddept,inseecommuneprinc,nomcommuneprinc
051,08039,AVAUX
051,51001,ABLANCOURT
051,51002,SAINT-MARTIN-D'ABLOIS
051,51003,AIGNY
051,51004,ALLEMANCHE-LAUNAY-ET-SOYER
051,51005,ALLEMANT
051,51006,ALLIANCELLES
051,51007,AMBONNAY
051,51008,AMBRIERES
051,51009,ANGLURE
051,51010,ANGLUZELLES-ET-COURCELLES
051,51012,ANTHENAY
051,51013,AOUGNY
051,51014,ARCIS-LE-PONSART
051,51015,ARGERS
051,51016,ARRIGNY
051,51017,ARZILLIERES-NEUVILLE
051,51018,ATHIS
051,51019,AUBERIVE
051,51020,AUBILLY
051,51022,AULNAY-L'AITRE
051,51023,AULNAY-SUR-MARNE
051,51025,AUMENANCOURT
051,51027,AUVE
051,51028,AVENAY-VAL-D'OR
051,51029,AVIZE
051,51030,AY-CHAMPAGNE
051,51031,BACONNES
051,51032,BAGNEUX
051,51033,BAIZIL (LE)
051,51034,BANNAY
051,51035,BANNES
051,51036,BARBONNE-FAYEL
051,51037,BASLIEUX-LES-FISMES
051,51038,BASLIEUX-SOUS-CHATILLON
051,51039,BASSU
051,51040,BASSUET
051,51041,BAUDEMENT
051,51042,BAYE
051,51043,BAZANCOURT
051,51044,BEAUMONT-SUR-VESLE
051,51045,BEAUNAY
051,51046,BEINE-NAUROY
051,51047,BELVAL-EN-ARGONNE
051,51048,BELVAL-SOUS-CHATILLON
051,51049,BERGERES-LES-VERTUS
051,51050,BERGERES-SOUS-MONTMIRAIL
051,51051,BERMERICOURT
051,51052,BERRU
051,51053,BERZIEUX
051,51054,BETHENIVILLE
051,51055,BETHENY
051,51056,BETHON
051,51057,BETTANCOURT-LA-LONGUE
051,51058,BEZANNES
051,51059,BIGNICOURT-SUR-MARNE
051,51060,BIGNICOURT-SUR-SAULX
051,51061,BILLY-LE-GRAND
051,51062,BINARVILLE
051,51065,BLACY
051,51066,BLAISE-SOUS-ARZILLIERES
051,51068,BLESME
051,51069,BLIGNY
051,51070,BOISSY-LE-REPOS
051,51071,BOUCHY-SAINT-GENEST
051,51072,BOUILLY
051,51073,BOULEUSE
051,51074,BOULT-SUR-SUIPPE
051,51075,BOURGOGNE-FRESNE
051,51076,BOURSAULT
051,51077,BOUVANCOURT
