cddept,inseecommuneprinc,nomcommuneprinc
069,01027,BALAN
069,69001,AFFOUX
069,69002,AIGUEPERSE
069,69003,ALBIGNY-SUR-SAONE
069,69004,ALIX
069,69005,AMBERIEUX
069,69006,AMPLEPUIS
069,69007,AMPUIS
069,69008,ANCY
069,69009,ANSE
069,69010,ARBRESLE (L')
069,69012,ARDILLATS (LES)
069,69013,ARNAS
069,69014,AVEIZE
069,69016,AZOLETTE
069,69017,BAGNOLS
069,69018,BEAUJEU
069,69019,BELLEVILLE-EN-BEAUJOLAIS
069,69020,BELMONT-D'AZERGUES
069,69021,BESSENAY
069,69022,BIBOST
069,69023,BLACE
069,69024,VAL D'OINGT
069,69026,BREUIL (LE)
069,69027,BRIGNAIS
069,69028,BRINDAS
069,69029,BRON
069,69030,BRULLIOLES
069,69031,BRUSSIEU
069,69032,BULLY
069,69033,CAILLOUX-SUR-FONTAINES
069,69034,CALUIRE-ET-CUIRE
069,69036,CERCIE
069,69037,CHAMBOST-ALLIERES
069,69038,CHAMBOST-LONGESSAIGNE
069,69039,CHAMELET
069,69040,CHAMPAGNE-AU-MONT-D'OR
069,69042,CHAPELLE-SUR-COISE (LA)
069,69043,CHAPONOST
069,69044,CHARBONNIERES-LES-BAINS
069,69045,CHARENTAY
069,69046,CHARLY
069,69047,CHARNAY
069,69049,CHASSELAY
069,69050,CHATILLON
069,69051,CHAUSSAN
069,69052,CHAZAY-D'AZERGUES
069,69053,CHENAS
069,69054,CHENELETTE
069,69055,CHERES (LES)
069,69056,CHESSY
069,69057,CHEVINAY
069,69058,CHIROUBLES
069,69059,CIVRIEUX-D'AZERGUES
069,69060,CLAVEISOLLES
069,69061,COGNY
069,69062,COISE
069,69063,COLLONGES-AU-MONT-D'OR
069,69064,CONDRIEU
069,69065,CORCELLES-EN-BEAUJOLAIS
069,69066,COURS
069,69067,COURZIEU
069,69068,COUZON-AU-MONT-D'OR
069,69069,CRAPONNE
069,69070,CUBLIZE
069,69071,CURIS-AU-MONT-D'OR
069,69072,DARDILLY
069,69074,DENICE
069,69075,DIEME
069,69076,DOMMARTIN
069,69077,DRACE
069,69078,DUERNE
069,69080,ECHALAS
069,69081,ECULLY
069,69082,EMERINGES
069,69083,EVEUX
069,69084,FLEURIE
069,69085,FLEURIEU-SUR-SAONE
069,69086,FLEURIEUX-SUR-L'ARBRESLE
069,69087,FONTAINES-SAINT-MARTIN
069,69088,FONTAINES-SUR-SAONE
069,69089,FRANCHEVILLE
069,69090,FRONTENAS
069,69091,GIVORS
069,69092,GLEIZE
069,69093,GRANDRIS
069,69094,GREZIEU-LA-VARENNE
069,69095,GREZIEU-LE-MARCHE
069,69096,GRIGNY
069,69097,HAIES (LES)
069,69098,HALLES (LES)
069,69099,HAUTE-RIVOIRE
069,69100,IRIGNY
069,69102,JOUX
069,69104,JULLIE
069,69105,LACENAS
069,69106,LACHASSAGNE
069,69107,LAMURE-SUR-AZERGUES
069,69109,LANTIGNIE
069,69110,LARAJASSE
069,69111,LEGNY
069,69112,LENTILLY
069,69113,LETRA
069,69115,LIMAS
069,69116,LIMONEST
069,69117,LISSIEU
069,69118,LOIRE-SUR-RHONE
069,69119,LONGES
069,69120,LONGESSAIGNE
069,69121,LOZANNE
069,69122,LUCENAY
069,69123,LYON
069,69124,MARCHAMPT
069,69125,MARCILLY-D'AZERGUES
069,69126,MARCY
069,69127,MARCY-L'ETOILE
069,69130,MEAUX-LA-MONTAGNE
069,69131,MESSIMY
069,69132,MEYS
069,69133,MILLERY
069,69134,MOIRE
069,69135,DEUX-GROSNES
069,69136,MONTAGNY
069,69137,MONTMELAS-SAINT-SORLIN
069,69138,MONTROMANT
069,69139,MONTROTTIER
069,69140,MORANCE
069,69141,MORNANT
069,69142,MULATIERE (LA)
069,69143,NEUVILLE-SUR-SAONE
069,69145,ODENAS
069,69148,ORLIENAS
069,69149,OULLINS-PIERRE-BÉNITE
069,69151,PERREON (LE)
069,69153,POLEYMIEUX-AU-MONT-D'OR
069,69154,POLLIONNAY
069,69155,POMEYS
069,69156,POMMIERS
069,69157,VINDRY-SUR-TURDINE
069,69159,PORTE DES PIERRES DOREES
069,69160,POULE-LES-ECHARMEAUX
069,69161,PROPIERES
069,69162,QUINCIE-EN-BEAUJOLAIS
069,69163,QUINCIEUX
069,69164,RANCHAL
069,69165,REGNIE-DURETTE
069,69166,RIVERIE
069,69167,RIVOLET
069,69168,ROCHETAILLEE-SUR-SAONE
069,69169,RONNO
069,69170,RONTALON
069,69171,SAIN-BEL
069,69172,SALLES-ARBUISSONNAS-EN-BEAUJOLAIS
069,69173,SARCEY
069,69174,SAUVAGES (LES)
069,69175,SAVIGNY
069,69176,SOUCIEU-EN-JARREST
069,69177,SOURCIEUX-LES-MINES
069,69178,SOUZY
069,69179,BEAUVALLON
069,69180,SAINT-ANDRE-LA-COTE
069,69181,SAINT-APPOLINAIRE
069,69182,SAINT-BONNET-DES-BRUYERES
069,69183,SAINT-BONNET-LE-TRONCY
069,69184,SAINTE-CATHERINE
069,69186,SAINT-CLEMENT-DE-VERS
069,69187,SAINT-CLEMENT-LES-PLACES
069,69188,SAINT-CLEMENT-SUR-VALSONNE
069,69189,SAINTE-COLOMBE
069,69190,SAINTE-CONSORCE
069,69191,SAINT-CYR-AU-MONT-D'OR
069,69192,SAINT-CYR-LE-CHATOUX
069,69193,SAINT-CYR-SUR-LE-RHONE
069,69194,SAINT-DIDIER-AU-MONT-D'OR
069,69196,SAINT-DIDIER-SUR-BEAUJEU
069,69197,SAINT-ETIENNE-DES-OULLIERES
069,69198,SAINT-ETIENNE-LA-VARENNE
069,69199,SAINT-FONS
069,69200,SAINT-FORGEUX
069,69201,SAINTE-FOY-L'ARGENTIERE
069,69202,SAINTE-FOY-LES-LYON
069,69203,SAINT-GENIS-L'ARGENTIERE
069,69204,SAINT-GENIS-LAVAL
069,69205,SAINT-GENIS-LES-OLLIERES
069,69206,SAINT-GEORGES-DE-RENEINS
069,69207,SAINT-GERMAIN-AU-MONT-D'OR
069,69208,SAINT-GERMAIN-NUELLES
069,69209,SAINT-IGNY-DE-VERS
069,69212,SAINT-JEAN-DES-VIGNES
069,69214,SAINT-JEAN-LA-BUSSIERE
069,69215,SAINT-JULIEN
069,69216,SAINT-JULIEN-SUR-BIBOST
069,69217,SAINT-JUST-D'AVRAY
069,69218,SAINT-LAGER
069,69219,SAINT-LAURENT-D'AGNY
069,69220,SAINT-LAURENT-DE-CHAMOUSSET
069,69225,SAINT-MARCEL-L'ECLAIRE
069,69227,SAINT-MARTIN-EN-HAUT
069,69228,CHABANIERE
069,69229,SAINT-NIZIER-D'AZERGUES
069,69230,SAINTE-PAULE
069,69231,SAINT-PIERRE-LA-PALUD
069,69233,SAINT-ROMAIN-AU-MONT-D'OR
069,69234,SAINT-ROMAIN-DE-POPEY
069,69235,SAINT-ROMAIN-EN-GAL
069,69236,SAINT-ROMAIN-EN-GIER
069,69238,SAINT-SYMPHORIEN-SUR-COISE
069,69239,SAINT-VERAND
069,69240,SAINT-VINCENT-DE-REINS
069,69241,TALUYERS
069,69242,TAPONAS
069,69243,TARARE
069,69244,TASSIN-LA-DEMI-LUNE
069,69245,TERNAND
069,69246,THEIZE
069,69248,THIZY-LES-BOURGS
069,69249,THURINS
069,69250,TOUR-DE-SALVAGNY (LA)
069,69252,TREVES
069,69253,TUPIN-ET-SEMONS
069,69254,VALSONNE
069,69255,VAUGNERAY
069,69256,VAULX-EN-VELIN
069,69257,VAUX-EN-BEAUJOLAIS
069,69258,VAUXRENARD
069,69259,VENISSIEUX
069,69260,VERNAISON
069,69261,VERNAY
069,69263,VILLECHENEVE
069,69264,VILLEFRANCHE-SUR-SAONE
069,69265,VILLE-SUR-JARNIOUX
069,69266,VILLEURBANNE
069,69267,VILLIE-MORGON
069,69268,VOURLES
069,69269,YZERON
069,69270,CHAPONNAY
069,69271,CHASSIEU
069,69272,COMMUNAY
069,69273,CORBAS
069,69275,DECINES-CHARPIEU
069,69276,FEYZIN
069,69277,GENAS
069,69278,GENAY
069,69279,JONAGE
069,69280,JONS
069,69281,MARENNES
069,69282,MEYZIEU
069,69283,MIONS
069,69284,MONTANAY
069,69285,PUSIGNAN
069,69286,RILLIEUX-LA-PAPE
069,69287,SAINT-BONNET-DE-MURE
069,69288,SAINT-LAURENT-DE-MURE
069,69289,SAINT-PIERRE-DE-CHANDIEU
069,69290,SAINT-PRIEST
069,69291,SAINT-SYMPHORIEN-D'OZON
069,69292,SATHONAY-CAMP
069,69293,SATHONAY-VILLAGE
069,69294,SEREZIN-DU-RHONE
069,69295,SIMANDRES
069,69296,SOLAIZE
069,69297,TERNAY
069,69298,TOUSSIEU
069,69299,COLOMBIER-SAUGNIEU
