referenceprel,libmajparametre,limitequal,valtraduite
06000154875,ACRYLAMIDE,<=0.1 µg/L,0.000000
06000154875,BENZO(A)PYRÈNE *,<=0.01 µg/L,0.000000
06000154875,BENZO(B)FLUORANTHÈNE,<=0.1 µg/L,0.000000
06000154875,"BENZO(G,H,I)PÉRYLÈNE",<=0.1 µg/L,0.000000
06000154875,BENZO(K)FLUORANTHÈNE,<=0.1 µg/L,0.000000
06000154875,BROMOFORME,<=100 µg/L,1.800000
06000154875,CADMIUM,<=5 µg/L,0.000000
06000154875,CHLOROFORME,<=100 µg/L,0.000000
06000154875,CHLORURE DE VINYL MONOMÈRE,<=0.5 µg/L,0.000000
06000154875,CHROME TOTAL,<=50 µg/L,0.000000
06000154875,CUIVRE,<=2 mg(Cu)/L,0.041000
06000154875,CHLORODIBROMOMÉTHANE,<=100 µg/L,3.700000
06000154875,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,1.700000
06000154875,EPICHLOROHYDRINE,<=0.1 µg/L,0.000000
06000154875,FER TOTAL,,47.100000
06000154875,HYDROCARBURES POLYCYCLIQUES AROMATIQUES (4 SUBSTANCES),"<=0,1 µg/L",0.000000
06000154875,"INDÉNO(1,2,3-CD)PYRÈNE",<=0.1 µg/L,0.000000
06000154875,NICKEL,<=20 µg/L,0.700000
06000154875,NITRITES (EN NO2),"<=0,5 mg/L",0.000000
06000154875,NITRATES (EN NO3),<=50 mg/L,34.100000
06000154875,PLOMB,<=10 µg/L,0.900000
06000154875,PH ,,7.400000
06000154875,ANTIMOINE,<=10 µg/L,0.000000
06000154875,TEMPÉRATURE DE MESURE DU PH,,11.400000
06000154875,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,7.200000
06000154884,ASPECT (QUALITATIF),,0.000000
06000154884,CONDUCTIVITÉ À 25°C,,845.000000
06000154884,CHLORE LIBRE,,0.000000
06000154884,CHLORE TOTAL,,0.000000
06000154884,CARBONE ORGANIQUE TOTAL,,2.620000
06000154884,COLORATION,,0.000000
06000154884,COULEUR (QUALITATIF),,0.000000
06000154884,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
06000154884,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
06000154884,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
06000154884,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
06000154884,AMMONIUM (EN NH4),,0.000000
06000154884,ODEUR (QUALITATIF),,0.000000
06000154884,PERCHLORATE,,1.300000
06000154884,PH ,,7.300000
06000154884,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
06000154884,TEMPÉRATURE DE L'EAU,,9.000000
