referenceprel,libmajparametre,limitequal,valtraduite
07100126956,ALUMINIUM TOTAL µG/L,,0.000000
07100126956,ASPECT (QUALITATIF),,0.000000
07100126956,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07100126956,CONDUCTIVITÉ À 25°C,,304.000000
07100126956,CHLORE LIBRE,,0.200000
07100126956,CHLORE TOTAL,,0.290000
07100126956,COLORATION,,0.000000
07100126956,COULEUR (QUALITATIF),,0.000000
07100126956,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126956,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126956,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126956,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126956,AMMONIUM (EN NH4),,0.000000
07100126956,ODEUR (QUALITATIF),,0.000000
07100126956,PH ,,8.100000
07100126956,SAVEUR (QUALITATIF),,0.000000
07100126956,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126956,TEMPÉRATURE DE L'EAU,,7.700000
07100126956,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07100126981,ASPECT (QUALITATIF),,0.000000
07100126981,CONDUCTIVITÉ À 25°C,,578.000000
07100126981,CHLORE LIBRE,,0.140000
07100126981,CHLORE TOTAL,,0.170000
07100126981,COLORATION,,0.000000
07100126981,COULEUR (QUALITATIF),,0.000000
07100126981,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126981,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126981,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126981,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126981,AMMONIUM (EN NH4),,0.000000
07100126981,ODEUR (QUALITATIF),,0.000000
07100126981,PH ,,7.600000
07100126981,SAVEUR (QUALITATIF),,0.000000
07100126981,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126981,TEMPÉRATURE DE L'EAU,,9.400000
07100126981,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.110000
07100126983,ASPECT (QUALITATIF),,0.000000
07100126983,CONDUCTIVITÉ À 25°C,,584.000000
07100126983,CHLORE LIBRE,,0.230000
07100126983,CHLORE TOTAL,,0.240000
07100126983,COLORATION,,0.000000
07100126983,COULEUR (QUALITATIF),,0.000000
07100126983,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126983,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126983,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126983,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126983,AMMONIUM (EN NH4),,0.000000
07100126983,ODEUR (QUALITATIF),,0.000000
07100126983,PH ,,7.500000
07100126983,SAVEUR (QUALITATIF),,0.000000
07100126983,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126983,TEMPÉRATURE DE L'EAU,,9.300000
07100126983,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.160000
07100126984,ASPECT (QUALITATIF),,0.000000
07100126984,CONDUCTIVITÉ À 25°C,,311.000000
07100126984,CHLORE LIBRE,,0.170000
07100126984,CHLORE TOTAL,,0.360000
07100126984,COLORATION,,0.000000
07100126984,COULEUR (QUALITATIF),,0.000000
07100126984,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126984,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126984,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126984,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126984,AMMONIUM (EN NH4),,0.000000
07100126984,ODEUR (QUALITATIF),,0.000000
07100126984,PH ,,7.700000
07100126984,SAVEUR (QUALITATIF),,0.000000
07100126984,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126984,TEMPÉRATURE DE L'EAU,,8.700000
07100126984,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07100126985,ASPECT (QUALITATIF),,0.000000
07100126985,CONDUCTIVITÉ À 25°C,,274.000000
07100126985,CHLORE LIBRE,,0.040000
07100126985,CHLORE TOTAL,,0.090000
07100126985,COLORATION,,0.000000
07100126985,COULEUR (QUALITATIF),,0.000000
07100126985,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126985,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126985,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126985,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126985,AMMONIUM (EN NH4),,0.000000
07100126985,NITRITES (EN NO2),"<=0,5 mg/L",0.000000
07100126985,NITRATES (EN NO3),<=50 mg/L,22.000000
07100126985,NITRATES/50 + NITRITES/3,<=1 mg/L,0.440000
07100126985,ODEUR (QUALITATIF),,0.000000
07100126985,PH ,,7.600000
07100126985,SAVEUR (QUALITATIF),,0.000000
07100126985,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126985,TEMPÉRATURE DE L'EAU,,9.400000
07100126985,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07100126987,ASPECT (QUALITATIF),,0.000000
07100126987,CONDUCTIVITÉ À 25°C,,328.000000
07100126987,CHLORE LIBRE,,0.030000
07100126987,CHLORE TOTAL,,0.030000
07100126987,COLORATION,,0.000000
07100126987,COULEUR (QUALITATIF),,0.000000
07100126987,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100126987,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100126987,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100126987,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100126987,AMMONIUM (EN NH4),,0.000000
07100126987,ODEUR (QUALITATIF),,0.000000
07100126987,PH ,,8.000000
07100126987,SAVEUR (QUALITATIF),,0.000000
07100126987,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100126987,TEMPÉRATURE DE L'EAU,,8.300000
07100126987,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.160000
07100127020,ASPECT (QUALITATIF),,0.000000
07100127020,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07100127020,CONDUCTIVITÉ À 25°C,,642.000000
07100127020,CHLORE LIBRE,,0.480000
07100127020,CHLORE TOTAL,,0.530000
07100127020,COLORATION,,0.000000
07100127020,COULEUR (QUALITATIF),,0.000000
07100127020,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127020,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127020,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100127020,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100127020,AMMONIUM (EN NH4),,0.000000
07100127020,ODEUR (QUALITATIF),,0.000000
07100127020,PH ,,7.600000
07100127020,SAVEUR (QUALITATIF),,0.000000
07100127020,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100127020,TEMPÉRATURE DE L'EAU,,10.100000
07100127020,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07100127021,ASPECT (QUALITATIF),,0.000000
07100127021,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07100127021,CONDUCTIVITÉ À 25°C,,622.000000
07100127021,CHLORE LIBRE,,0.560000
07100127021,CHLORE TOTAL,,0.660000
07100127021,COLORATION,,0.000000
07100127021,COULEUR (QUALITATIF),,0.000000
07100127021,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127021,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127021,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100127021,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100127021,AMMONIUM (EN NH4),,0.000000
07100127021,ODEUR (QUALITATIF),,0.000000
07100127021,PH ,,7.300000
07100127021,SAVEUR (QUALITATIF),,0.000000
07100127021,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100127021,TEMPÉRATURE DE L'EAU,,11.100000
07100127021,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07100127022,ASPECT (QUALITATIF),,0.000000
07100127022,CONDUCTIVITÉ À 25°C,,291.000000
07100127022,CHLORE LIBRE,,0.200000
07100127022,CHLORE TOTAL,,0.310000
07100127022,COLORATION,,0.000000
07100127022,COULEUR (QUALITATIF),,0.000000
07100127022,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127022,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127022,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100127022,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100127022,AMMONIUM (EN NH4),,0.000000
07100127022,ODEUR (QUALITATIF),,0.000000
07100127022,PH ,,7.300000
07100127022,SAVEUR (QUALITATIF),,0.000000
07100127022,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100127022,TEMPÉRATURE DE L'EAU,,7.700000
07100127022,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.180000
07100127060,ASPECT (QUALITATIF),,0.000000
07100127060,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07100127060,CONDUCTIVITÉ À 25°C,,537.000000
07100127060,CHLORE LIBRE,,0.190000
07100127060,CHLORE TOTAL,,0.250000
07100127060,COLORATION,,0.000000
07100127060,COULEUR (QUALITATIF),,0.000000
07100127060,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127060,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127060,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100127060,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100127060,AMMONIUM (EN NH4),,0.000000
07100127060,ODEUR (QUALITATIF),,0.000000
07100127060,PH ,,7.400000
07100127060,SAVEUR (QUALITATIF),,0.000000
07100127060,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100127060,TEMPÉRATURE DE L'EAU,,8.900000
07100127060,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.120000
07100127061,ASPECT (QUALITATIF),,0.000000
07100127061,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07100127061,CONDUCTIVITÉ À 25°C,,508.000000
07100127061,CHLORE LIBRE,,0.320000
07100127061,CHLORE TOTAL,,0.430000
07100127061,COLORATION,,0.000000
07100127061,COULEUR (QUALITATIF),,0.000000
07100127061,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127061,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127061,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07100127061,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07100127061,AMMONIUM (EN NH4),,0.000000
07100127061,ODEUR (QUALITATIF),,0.000000
07100127061,PH ,,7.200000
07100127061,SAVEUR (QUALITATIF),,0.000000
07100127061,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07100127061,TEMPÉRATURE DE L'EAU,,11.500000
07100127061,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.150000
07100127094,ASPECT (QUALITATIF),,0.000000
07100127094,CONDUCTIVITÉ À 25°C,,664.000000
07100127094,CHLORE LIBRE,,0.550000
07100127094,CHLORE TOTAL,,0.640000
07100127094,COLORATION,,0.000000
07100127094,COULEUR (QUALITATIF),,0.000000
07100127094,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07100127094,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07100127094,FER TOTAL,,0.000000
07100127094,BACT. AÉR. REVIVIFIABLES À 22°-68H,,3.000000
07100127094,BACT. AÉR. REVIVIFIABLES À 36°-44H,,5.000000
07100127094,MANGANÈSE TOTAL,,0.000000
