referenceprel,libmajparametre,limitequal,valtraduite
07200139654,ASPECT (QUALITATIF),,0.000000
07200139654,CONDUCTIVITÉ À 25°C,,614.000000
07200139654,CHLORE LIBRE,,0.220000
07200139654,CHLORE TOTAL,,0.230000
07200139654,CHLORATE,<=250 µg/L,20.000000
07200139654,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200139654,COLORATION,,0.000000
07200139654,COULEUR (QUALITATIF),,0.000000
07200139654,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139654,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139654,FER TOTAL,,26.000000
07200139654,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200139654,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07200139654,AMMONIUM (EN NH4),,0.000000
07200139654,NITRATES (EN NO3),<=50 mg/L,25.000000
07200139654,ODEUR (QUALITATIF),,0.000000
07200139654,PH ,,7.600000
07200139654,PH ,,7.500000
07200139654,SAVEUR (QUALITATIF),,0.000000
07200139654,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139654,TEMPÉRATURE DE L'EAU,,9.500000
07200139654,TEMPÉRATURE DE MESURE DU PH,,19.400000
07200139654,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139668,ASPECT (QUALITATIF),,0.000000
07200139668,CONDUCTIVITÉ À 25°C,,724.000000
07200139668,CHLORE LIBRE,,0.380000
07200139668,CHLORE TOTAL,,0.420000
07200139668,CHLORATE,<=250 µg/L,10.000000
07200139668,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200139668,COLORATION,,0.000000
07200139668,COULEUR (QUALITATIF),,0.000000
07200139668,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139668,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139668,FER TOTAL,,1.000000
07200139668,BACT. AÉR. REVIVIFIABLES À 22°-68H,,4.000000
07200139668,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07200139668,AMMONIUM (EN NH4),,0.000000
07200139668,NITRATES (EN NO3),<=50 mg/L,28.000000
07200139668,ODEUR (QUALITATIF),,0.000000
07200139668,PH ,,7.200000
07200139668,PH ,,7.200000
07200139668,SAVEUR (QUALITATIF),,0.000000
07200139668,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139668,TEMPÉRATURE DE L'EAU,,9.300000
07200139668,TEMPÉRATURE DE MESURE DU PH,,19.300000
07200139668,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139843,ASPECT (QUALITATIF),,0.000000
07200139843,CONDUCTIVITÉ À 25°C,,720.000000
07200139843,CHLORE LIBRE,,0.200000
07200139843,CHLORE TOTAL,,0.400000
07200139843,COLORATION,,0.000000
07200139843,COULEUR (QUALITATIF),,0.000000
07200139843,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139843,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139843,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200139843,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07200139843,AMMONIUM (EN NH4),,0.000000
07200139843,NITRATES (EN NO3),<=50 mg/L,33.000000
07200139843,ODEUR (QUALITATIF),,0.000000
07200139843,PH ,,7.300000
07200139843,PH ,,7.400000
07200139843,SAVEUR (QUALITATIF),,0.000000
07200139843,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139843,TEMPÉRATURE DE L'EAU,,7.100000
07200139843,TEMPÉRATURE DE MESURE DU PH,,19.100000
07200139843,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139863,ASPECT (QUALITATIF),,0.000000
07200139863,CONDUCTIVITÉ À 25°C,,837.000000
07200139863,CHLORE LIBRE,,0.260000
07200139863,CHLORE TOTAL,,0.320000
07200139863,CHLORATE,<=250 µg/L,0.000000
07200139863,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200139863,COLORATION,,0.000000
07200139863,COULEUR (QUALITATIF),,0.000000
07200139863,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139863,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139863,FER TOTAL,,4.000000
07200139863,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
07200139863,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
07200139863,MANGANÈSE TOTAL,,0.000000
07200139863,AMMONIUM (EN NH4),,0.000000
07200139863,ODEUR (QUALITATIF),,0.000000
07200139863,PH ,,7.200000
07200139863,PH ,,7.100000
07200139863,SAVEUR (QUALITATIF),,0.000000
07200139863,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139863,TEMPÉRATURE DE L'EAU,,7.000000
07200139863,TEMPÉRATURE DE MESURE DU PH,,18.900000
07200139863,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139883,ASPECT (QUALITATIF),,0.000000
07200139883,CONDUCTIVITÉ À 25°C,,637.000000
07200139883,CHLORE LIBRE,,0.420000
07200139883,CHLORE TOTAL,,0.500000
07200139883,CHLORATE,<=250 µg/L,30.000000
07200139883,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200139883,COLORATION,,0.000000
07200139883,COULEUR (QUALITATIF),,0.000000
07200139883,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139883,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139883,FER TOTAL,,14.000000
07200139883,BACT. AÉR. REVIVIFIABLES À 22°-68H,,1.000000
07200139883,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07200139883,MANGANÈSE TOTAL,,3.000000
07200139883,AMMONIUM (EN NH4),,0.000000
07200139883,ODEUR (QUALITATIF),,0.000000
07200139883,PH ,,7.500000
07200139883,PH ,,7.500000
07200139883,SAVEUR (QUALITATIF),,0.000000
07200139883,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139883,TEMPÉRATURE DE L'EAU,,11.200000
07200139883,TEMPÉRATURE DE MESURE DU PH,,18.700000
07200139883,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139893,ASPECT (QUALITATIF),,0.000000
07200139893,CONDUCTIVITÉ À 25°C,,510.000000
07200139893,CHLORE LIBRE,,0.220000
07200139893,CHLORE TOTAL,,0.320000
07200139893,COLORATION,,0.000000
07200139893,COULEUR (QUALITATIF),,0.000000
07200139893,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139893,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139893,FER TOTAL,,2.000000
07200139893,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
07200139893,BACT. AÉR. REVIVIFIABLES À 36°-44H,,3.000000
07200139893,AMMONIUM (EN NH4),,0.000000
07200139893,NITRATES (EN NO3),<=50 mg/L,17.000000
07200139893,ODEUR (QUALITATIF),,0.000000
07200139893,PH ,,7.700000
07200139893,PH ,,7.900000
07200139893,SAVEUR (QUALITATIF),,0.000000
07200139893,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139893,TEMPÉRATURE DE L'EAU,,9.200000
07200139893,TEMPÉRATURE DE MESURE DU PH,,19.400000
07200139893,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139894,ASPECT (QUALITATIF),,0.000000
07200139894,CONDUCTIVITÉ À 25°C,,488.000000
07200139894,CHLORE LIBRE,,0.410000
07200139894,CHLORE TOTAL,,0.420000
07200139894,COLORATION,,0.000000
07200139894,COULEUR (QUALITATIF),,0.000000
07200139894,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139894,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139894,FER TOTAL,,3.000000
07200139894,BACT. AÉR. REVIVIFIABLES À 22°-68H,,17.000000
07200139894,BACT. AÉR. REVIVIFIABLES À 36°-44H,,16.000000
07200139894,AMMONIUM (EN NH4),,0.000000
07200139894,NITRATES (EN NO3),<=50 mg/L,10.000000
07200139894,ODEUR (QUALITATIF),,0.000000
07200139894,PH ,,7.800000
07200139894,PH ,,7.800000
07200139894,SAVEUR (QUALITATIF),,0.000000
07200139894,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139894,TEMPÉRATURE DE L'EAU,,6.600000
07200139894,TEMPÉRATURE DE MESURE DU PH,,18.200000
07200139894,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139936,ASPECT (QUALITATIF),,0.000000
07200139936,CONDUCTIVITÉ À 25°C,,723.000000
07200139936,CHLORE LIBRE,,0.250000
07200139936,CHLORE TOTAL,,0.270000
07200139936,COLORATION,,0.000000
07200139936,COULEUR (QUALITATIF),,0.000000
07200139936,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139936,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139936,FER TOTAL,,2.000000
07200139936,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200139936,BACT. AÉR. REVIVIFIABLES À 36°-44H,,7.000000
07200139936,AMMONIUM (EN NH4),,0.000000
07200139936,NITRATES (EN NO3),<=50 mg/L,30.000000
07200139936,ODEUR (QUALITATIF),,0.000000
07200139936,PH ,,7.300000
07200139936,PH ,,7.400000
07200139936,SAVEUR (QUALITATIF),,0.000000
07200139936,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139936,TEMPÉRATURE DE L'EAU,,8.500000
07200139936,TEMPÉRATURE DE MESURE DU PH,,19.500000
07200139936,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200139967,ASPECT (QUALITATIF),,0.000000
07200139967,CONDUCTIVITÉ À 25°C,,521.000000
07200139967,CHLORE LIBRE,,0.390000
07200139967,CHLORE TOTAL,,0.430000
07200139967,CHLORATE,<=250 µg/L,0.000000
07200139967,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200139967,COLORATION,,0.000000
07200139967,COULEUR (QUALITATIF),,1.000000
07200139967,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139967,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139967,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200139967,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07200139967,AMMONIUM (EN NH4),,0.000000
07200139967,ODEUR (QUALITATIF),,0.000000
07200139967,PH ,,7.800000
07200139967,PH ,,7.900000
07200139967,SAVEUR (QUALITATIF),,0.000000
07200139967,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139967,TEMPÉRATURE DE L'EAU,,8.500000
07200139967,TEMPÉRATURE DE MESURE DU PH,,18.900000
07200139967,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.660000
07200139978,ASPECT (QUALITATIF),,0.000000
07200139978,CONDUCTIVITÉ À 25°C,,559.000000
07200139978,CHLORE LIBRE,,0.140000
07200139978,CHLORE TOTAL,,0.190000
07200139978,COLORATION,,0.000000
07200139978,COULEUR (QUALITATIF),,0.000000
07200139978,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200139978,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200139978,FER TOTAL,,22.000000
07200139978,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200139978,BACT. AÉR. REVIVIFIABLES À 36°-44H,,5.000000
07200139978,MANGANÈSE TOTAL,,0.000000
07200139978,AMMONIUM (EN NH4),,0.000000
07200139978,ODEUR (QUALITATIF),,0.000000
07200139978,PH ,,7.500000
07200139978,PH ,,7.600000
07200139978,SAVEUR (QUALITATIF),,0.000000
07200139978,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200139978,TEMPÉRATURE DE L'EAU,,7.500000
07200139978,TEMPÉRATURE DE MESURE DU PH,,18.800000
07200139978,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140275,ASPECT (QUALITATIF),,0.000000
07200140275,CONDUCTIVITÉ À 25°C,,732.000000
07200140275,CHLORE LIBRE,,0.330000
07200140275,CHLORE TOTAL,,0.380000
07200140275,COLORATION,,0.000000
07200140275,COULEUR (QUALITATIF),,0.000000
07200140275,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140275,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140275,FER TOTAL,,2.000000
07200140275,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200140275,BACT. AÉR. REVIVIFIABLES À 36°-44H,,3.000000
07200140275,MANGANÈSE TOTAL,,0.000000
07200140275,AMMONIUM (EN NH4),,0.000000
07200140275,ODEUR (QUALITATIF),,0.000000
07200140275,PH ,,7.400000
07200140275,PH ,,7.200000
07200140275,SAVEUR (QUALITATIF),,0.000000
07200140275,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140275,TEMPÉRATURE DE L'EAU,,9.800000
07200140275,TEMPÉRATURE DE MESURE DU PH,,22.300000
07200140275,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140351,ASPECT (QUALITATIF),,0.000000
07200140351,CONDUCTIVITÉ À 25°C,,856.000000
07200140351,CHLORE LIBRE,,0.110000
07200140351,CHLORE TOTAL,,0.150000
07200140351,COLORATION,,0.000000
07200140351,COULEUR (QUALITATIF),,0.000000
07200140351,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140351,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140351,FER TOTAL,,53.000000
07200140351,BACT. AÉR. REVIVIFIABLES À 22°-68H,,4.000000
07200140351,BACT. AÉR. REVIVIFIABLES À 36°-44H,,10.000000
07200140351,MANGANÈSE TOTAL,,5.000000
07200140351,AMMONIUM (EN NH4),,0.000000
07200140351,ODEUR (QUALITATIF),,0.000000
07200140351,PH ,,7.500000
07200140351,PH ,,7.300000
07200140351,SAVEUR (QUALITATIF),,0.000000
07200140351,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140351,TEMPÉRATURE DE L'EAU,,9.700000
07200140351,TEMPÉRATURE DE MESURE DU PH,,18.800000
07200140351,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.350000
07200140368,ASPECT (QUALITATIF),,0.000000
07200140368,CONDUCTIVITÉ À 25°C,,478.000000
07200140368,CHLORE LIBRE,,0.070000
07200140368,CHLORE TOTAL,,0.160000
07200140368,CHLORATE,<=250 µg/L,0.000000
07200140368,CHLORITE EN  MG/L,"<=0,25 mg/L",0.000000
07200140368,COLORATION,,0.000000
07200140368,COULEUR (QUALITATIF),,0.000000
07200140368,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140368,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140368,FER TOTAL,,1.000000
07200140368,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200140368,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
07200140368,MANGANÈSE TOTAL,,0.000000
07200140368,AMMONIUM (EN NH4),,0.000000
07200140368,ODEUR (QUALITATIF),,0.000000
07200140368,PH ,,7.600000
07200140368,PH ,,7.500000
07200140368,SAVEUR (QUALITATIF),,0.000000
07200140368,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140368,TEMPÉRATURE DE L'EAU,,10.200000
07200140368,TEMPÉRATURE DE MESURE DU PH,,18.400000
07200140368,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140423,ASPECT (QUALITATIF),,0.000000
07200140423,CONDUCTIVITÉ À 25°C,,655.000000
07200140423,CHLORE LIBRE,,0.210000
07200140423,CHLORE TOTAL,,0.250000
07200140423,COLORATION,,0.000000
07200140423,COULEUR (QUALITATIF),,0.000000
07200140423,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140423,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140423,FER TOTAL,,21.000000
07200140423,BACT. AÉR. REVIVIFIABLES À 22°-68H,,3.000000
07200140423,BACT. AÉR. REVIVIFIABLES À 36°-44H,,2.000000
07200140423,AMMONIUM (EN NH4),,0.000000
07200140423,NITRATES (EN NO3),<=50 mg/L,12.000000
07200140423,ODEUR (QUALITATIF),,0.000000
07200140423,PH ,,7.600000
07200140423,PH ,,7.600000
07200140423,SAVEUR (QUALITATIF),,0.000000
07200140423,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140423,TEMPÉRATURE DE L'EAU,,13.300000
07200140423,TEMPÉRATURE DE MESURE DU PH,,19.900000
07200140423,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140468,ASPECT (QUALITATIF),,0.000000
07200140468,CONDUCTIVITÉ À 25°C,,497.000000
07200140468,CHLORE LIBRE,,0.130000
07200140468,CHLORE TOTAL,,0.180000
07200140468,COLORATION,,0.000000
07200140468,COULEUR (QUALITATIF),,0.000000
07200140468,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140468,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140468,FER TOTAL,,4.000000
07200140468,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
07200140468,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
07200140468,AMMONIUM (EN NH4),,0.000000
07200140468,NITRATES (EN NO3),<=50 mg/L,18.000000
07200140468,ODEUR (QUALITATIF),,0.000000
07200140468,PH ,,8.100000
07200140468,PH ,,8.000000
07200140468,SAVEUR (QUALITATIF),,0.000000
07200140468,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140468,TEMPÉRATURE DE L'EAU,,14.300000
07200140468,TEMPÉRATURE DE MESURE DU PH,,19.300000
07200140468,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140490,ASPECT (QUALITATIF),,0.000000
07200140490,CONDUCTIVITÉ À 25°C,,604.000000
07200140490,CHLORE LIBRE,,0.410000
07200140490,CHLORE TOTAL,,0.480000
07200140490,COLORATION,,0.000000
07200140490,COULEUR (QUALITATIF),,0.000000
07200140490,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140490,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140490,FER TOTAL,,7.000000
07200140490,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200140490,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
07200140490,AMMONIUM (EN NH4),,0.000000
07200140490,NITRATES (EN NO3),<=50 mg/L,30.000000
07200140490,ODEUR (QUALITATIF),,0.000000
07200140490,PH ,,7.600000
07200140490,PH ,,7.400000
07200140490,SAVEUR (QUALITATIF),,0.000000
07200140490,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07200140490,TEMPÉRATURE DE L'EAU,,13.000000
07200140490,TEMPÉRATURE DE MESURE DU PH,,19.600000
07200140490,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07200140491,ASPECT (QUALITATIF),,0.000000
07200140491,CONDUCTIVITÉ À 25°C,,608.000000
07200140491,CHLORE LIBRE,,0.280000
07200140491,CHLORE TOTAL,,0.300000
07200140491,COLORATION,,0.000000
07200140491,COULEUR (QUALITATIF),,0.000000
07200140491,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07200140491,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07200140491,FER TOTAL,,81.000000
07200140491,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07200140491,BACT. AÉR. REVIVIFIABLES À 36°-44H,,6.000000
07200140491,AMMONIUM (EN NH4),,0.000000
07200140491,NITRATES (EN NO3),<=50 mg/L,31.000000
07200140491,ODEUR (QUALITATIF),,0.000000
07200140491,PH ,,7.700000
07200140491,PH ,,7.400000
