referenceprel,libmajparametre,limitequal,valtraduite
08900133475,ASPECT (QUALITATIF),,0.000000
08900133475,CONDUCTIVITÉ À 25°C,,393.000000
08900133475,CHLORE LIBRE,,0.500000
08900133475,CHLORE TOTAL,,0.600000
08900133475,COULEUR (QUALITATIF),,0.000000
08900133475,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08900133475,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08900133475,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08900133475,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08900133475,AMMONIUM (EN NH4),,0.000000
08900133475,NITRATES (EN NO3),<=50 mg/L,24.000000
08900133475,ODEUR (QUALITATIF),,0.000000
08900133475,PH ,,7.500000
08900133475,SAVEUR (QUALITATIF),,0.000000
08900133475,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08900133475,TEMPÉRATURE DE L'EAU,,9.000000
08900133475,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.500000
08900133490,ASPECT (QUALITATIF),,0.000000
08900133490,CONDUCTIVITÉ À 25°C,,597.000000
08900133490,CHLORE LIBRE,,0.380000
08900133490,CHLORE TOTAL,,0.440000
08900133490,COULEUR (QUALITATIF),,0.000000
08900133490,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08900133490,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08900133490,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08900133490,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08900133490,AMMONIUM (EN NH4),,0.000000
08900133490,ODEUR (QUALITATIF),,0.000000
08900133490,PH ,,7.360000
08900133490,SAVEUR (QUALITATIF),,0.000000
08900133490,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08900133490,TEMPÉRATURE DE L'EAU,,8.800000
08900133490,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.150000
08900133602,ASPECT (QUALITATIF),,0.000000
08900133602,CONDUCTIVITÉ À 25°C,,194.000000
08900133602,CHLORE LIBRE,,0.280000
08900133602,CHLORE TOTAL,,0.400000
08900133602,COULEUR (QUALITATIF),,0.000000
08900133602,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08900133602,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08900133602,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08900133602,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08900133602,AMMONIUM (EN NH4),,0.000000
08900133602,ODEUR (QUALITATIF),,0.000000
08900133602,PH ,,7.000000
08900133602,SAVEUR (QUALITATIF),,0.000000
08900133602,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08900133602,TEMPÉRATURE DE L'EAU,,8.400000
08900133602,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
08900133604,ASPECT (QUALITATIF),,0.000000
08900133604,CONDUCTIVITÉ À 25°C,,196.000000
08900133604,CHLORE LIBRE,,0.100000
08900133604,CHLORE TOTAL,,0.150000
08900133604,COULEUR (QUALITATIF),,0.000000
08900133604,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08900133604,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08900133604,BACT. AÉR. REVIVIFIABLES À 22°-68H,,15.000000
08900133604,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08900133604,AMMONIUM (EN NH4),,0.000000
08900133604,ODEUR (QUALITATIF),,0.000000
08900133604,PH ,,6.980000
08900133604,SAVEUR (QUALITATIF),,0.000000
08900133604,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08900133604,TEMPÉRATURE DE L'EAU,,8.000000
08900133604,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.180000
08900133630,ASPECT (QUALITATIF),,0.000000
08900133630,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08900133630,CONDUCTIVITÉ À 25°C,,625.000000
08900133630,CHLORE LIBRE,,0.650000
08900133630,CHLORE TOTAL,,0.670000
08900133630,COULEUR (QUALITATIF),,0.000000
08900133630,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08900133630,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08900133630,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08900133630,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08900133630,AMMONIUM (EN NH4),,0.000000
08900133630,NITRATES (EN NO3),<=50 mg/L,18.000000
08900133630,ODEUR (QUALITATIF),,0.000000
08900133630,PH ,,7.750000
08900133630,SAVEUR (QUALITATIF),,0.000000
08900133630,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08900133630,TEMPÉRATURE DE L'EAU,,7.300000
08900133630,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
08900133658,ASPECT (QUALITATIF),,0.000000
08900133658,CONDUCTIVITÉ À 25°C,,470.000000
08900133658,CHLORE LIBRE,,0.000000
08900133658,CHLORE TOTAL,,0.080000
08900133658,COULEUR (QUALITATIF),,0.000000
