referenceprel,libmajparametre,limitequal,valtraduite
05900328147,ASPECT (QUALITATIF),,0.000000
05900328147,CONDUCTIVITÉ À 25°C,,805.000000
05900328147,CHLORE LIBRE,,0.230000
05900328147,CHLORE TOTAL,,0.270000
05900328147,COLORATION,,0.000000
05900328147,COULEUR (QUALITATIF),,0.000000
05900328147,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328147,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328147,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328147,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328147,AMMONIUM (EN NH4),,0.000000
05900328147,ODEUR (QUALITATIF),,0.000000
05900328147,PH ,,7.500000
05900328147,SAVEUR (QUALITATIF),,0.000000
05900328147,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328147,TEMPÉRATURE DE L'EAU,,8.100000
05900328147,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
05900328171,ASPECT (QUALITATIF),,0.000000
05900328171,CONDUCTIVITÉ À 25°C,,746.000000
05900328171,CHLORE LIBRE,,0.430000
05900328171,CHLORE TOTAL,,0.460000
05900328171,COLORATION,,0.000000
05900328171,COULEUR (QUALITATIF),,0.000000
05900328171,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328171,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328171,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328171,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328171,AMMONIUM (EN NH4),,0.000000
05900328171,ODEUR (QUALITATIF),,0.000000
05900328171,PH ,,7.300000
05900328171,SAVEUR (QUALITATIF),,0.000000
05900328171,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328171,TEMPÉRATURE DE L'EAU,,8.900000
05900328171,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
05900328297,ASPECT (QUALITATIF),,0.000000
05900328297,CONDUCTIVITÉ À 25°C,,730.000000
05900328297,CHLORE LIBRE,,0.180000
05900328297,CHLORE TOTAL,,0.240000
05900328297,COLORATION,,0.000000
05900328297,COULEUR (QUALITATIF),,0.000000
05900328297,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328297,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328297,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328297,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328297,AMMONIUM (EN NH4),,0.000000
05900328297,ODEUR (QUALITATIF),,0.000000
05900328297,PH ,,7.700000
05900328297,SAVEUR (QUALITATIF),,0.000000
05900328297,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328297,TEMPÉRATURE DE L'EAU,,8.100000
05900328297,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.110000
05900328323,ASPECT (QUALITATIF),,0.000000
05900328323,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
05900328323,CONDUCTIVITÉ À 25°C,,736.000000
05900328323,CHLORE LIBRE,,0.440000
05900328323,CHLORE TOTAL,,0.470000
05900328323,COLORATION,,0.000000
05900328323,COULEUR (QUALITATIF),,0.000000
05900328323,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328323,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328323,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328323,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328323,AMMONIUM (EN NH4),,0.000000
05900328323,ODEUR (QUALITATIF),,0.000000
05900328323,PH ,,7.600000
05900328323,SAVEUR (QUALITATIF),,0.000000
05900328323,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328323,TEMPÉRATURE DE L'EAU,,7.600000
05900328323,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
05900328326,ASPECT (QUALITATIF),,0.000000
05900328326,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
05900328326,CONDUCTIVITÉ À 25°C,,748.000000
05900328326,CHLORE LIBRE,,0.300000
05900328326,CHLORE TOTAL,,0.350000
05900328326,COLORATION,,0.000000
05900328326,COULEUR (QUALITATIF),,0.000000
05900328326,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328326,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328326,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328326,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328326,AMMONIUM (EN NH4),,0.000000
05900328326,ODEUR (QUALITATIF),,0.000000
05900328326,PH ,,7.500000
05900328326,SAVEUR (QUALITATIF),,0.000000
05900328326,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328326,TEMPÉRATURE DE L'EAU,,13.200000
05900328326,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.140000
05900328516,ASPECT (QUALITATIF),,0.000000
05900328516,CONDUCTIVITÉ À 25°C,,793.000000
05900328516,CHLORE LIBRE,,0.210000
05900328516,CHLORE TOTAL,,0.250000
05900328516,COLORATION,,0.000000
05900328516,COULEUR (QUALITATIF),,0.000000
05900328516,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328516,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328516,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328516,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328516,AMMONIUM (EN NH4),,0.000000
05900328516,ODEUR (QUALITATIF),,0.000000
05900328516,PH ,,7.400000
05900328516,SAVEUR (QUALITATIF),,0.000000
05900328516,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328516,TEMPÉRATURE DE L'EAU,,6.700000
05900328516,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
05900328660,ASPECT (QUALITATIF),,0.000000
05900328660,CONDUCTIVITÉ À 25°C,,960.000000
05900328660,CHLORE LIBRE,,0.120000
05900328660,CHLORE TOTAL,,0.160000
05900328660,COLORATION,,0.000000
05900328660,COULEUR (QUALITATIF),,0.000000
05900328660,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05900328660,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05900328660,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05900328660,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05900328660,AMMONIUM (EN NH4),,0.000000
05900328660,ODEUR (QUALITATIF),,0.000000
05900328660,PH ,,7.300000
05900328660,SAVEUR (QUALITATIF),,0.000000
05900328660,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05900328660,TEMPÉRATURE DE L'EAU,,11.900000
