referenceprel,libmajparametre,limitequal,valtraduite
06300214763,ASPECT (QUALITATIF),,0.000000
06300214763,CONDUCTIVITÉ À 25°C,,25.000000
06300214763,CHLORE LIBRE,,0.000000
06300214763,CHLORE TOTAL,,0.000000
06300214763,COULEUR (QUALITATIF),,0.000000
06300214763,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
06300214763,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
06300214763,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
06300214763,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
06300214763,AMMONIUM (EN NH4),,0.000000
06300214763,ODEUR (QUALITATIF),,0.000000
06300214763,PH ,,5.800000
06300214763,SAVEUR (QUALITATIF),,0.000000
06300214763,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
06300214763,TEMPÉRATURE DE L'EAU,,8.500000
06300214763,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.100000
06300214797,ARSENIC,<=10 µg/L,4.400000
06300214797,ASPECT (QUALITATIF),,0.000000
06300214797,CONDUCTIVITÉ À 25°C,,198.000000
06300214797,CHLORE LIBRE,,0.060000
06300214797,CHLORE TOTAL,,0.070000
06300214797,COLORATION,,0.000000
06300214797,COULEUR (QUALITATIF),,0.000000
06300214797,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
06300214797,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
06300214797,BACT. AÉR. REVIVIFIABLES À 22°-68H,,1.000000
06300214797,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
06300214797,AMMONIUM (EN NH4),,0.000000
06300214797,ODEUR (QUALITATIF),,0.000000
06300214797,PH ,,8.100000
06300214797,SAVEUR (QUALITATIF),,0.000000
06300214797,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
06300214797,TEMPÉRATURE DE L'EAU,,10.700000
06300214797,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.150000
06300214926,ASPECT (QUALITATIF),,0.000000
06300214926,CONDUCTIVITÉ À 25°C,,72.000000
06300214926,CHLORE LIBRE,,0.240000
06300214926,CHLORE TOTAL,,0.260000
06300214926,COULEUR (QUALITATIF),,0.000000
06300214926,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
06300214926,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
06300214926,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
06300214926,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
06300214926,AMMONIUM (EN NH4),,0.000000
06300214926,ODEUR (QUALITATIF),,0.000000
06300214926,PH ,,6.800000
06300214926,SAVEUR (QUALITATIF),,0.000000
06300214926,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
06300214926,TEMPÉRATURE DE L'EAU,,6.900000
06300214926,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.140000
