referenceprel,libmajparametre,limitequal,valtraduite
07600297804,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07600297804,CONDUCTIVITÉ À 25°C,,634.000000
07600297804,CHLORE LIBRE,,0.230000
07600297804,CHLORE TOTAL,,0.260000
07600297804,COULEUR (QUALITATIF),,0.000000
07600297804,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07600297804,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07600297804,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07600297804,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
07600297804,AMMONIUM (EN NH4),,0.000000
07600297804,NITRATES (EN NO3),<=50 mg/L,25.900000
07600297804,NITRATES/50 + NITRITES/3,<=1 mg/L,0.520000
07600297804,ODEUR (QUALITATIF),,0.000000
07600297804,PH ,,7.700000
07600297804,SAVEUR (QUALITATIF),,0.000000
07600297804,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07600297804,TEMPÉRATURE DE L'EAU,,9.000000
07600297804,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07600297807,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07600297807,CONDUCTIVITÉ À 25°C,,568.000000
07600297807,CHLORE LIBRE,,0.220000
07600297807,CHLORE TOTAL,,0.230000
07600297807,COULEUR (QUALITATIF),,0.000000
07600297807,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07600297807,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07600297807,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
07600297807,BACT. AÉR. REVIVIFIABLES À 36°-44H,,5.000000
07600297807,AMMONIUM (EN NH4),,0.000000
07600297807,NITRATES (EN NO3),<=50 mg/L,19.900000
07600297807,NITRATES/50 + NITRITES/3,<=1 mg/L,0.400000
07600297807,ODEUR (QUALITATIF),,0.000000
07600297807,PH ,,7.700000
07600297807,SAVEUR (QUALITATIF),,0.000000
07600297807,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07600297807,TEMPÉRATURE DE L'EAU,,9.000000
07600297807,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.270000
07600297838,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07600297838,CONDUCTIVITÉ À 25°C,,611.000000
07600297838,CHLORE LIBRE,,0.140000
07600297838,CHLORE TOTAL,,0.160000
07600297838,COULEUR (QUALITATIF),,0.000000
07600297838,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07600297838,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07600297838,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
