referenceprel,libmajparametre,limitequal,valtraduite
07900082771,ASPECT (QUALITATIF),,0.000000
07900082771,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07900082771,CONDUCTIVITÉ À 25°C,,452.000000
07900082771,CHLORE LIBRE,,0.100000
07900082771,CHLORE TOTAL,,0.200000
07900082771,COULEUR (QUALITATIF),,0.000000
07900082771,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07900082771,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07900082771,BACT. AÉR. REVIVIFIABLES À 22°-68H,,20.000000
07900082771,BACT. AÉR. REVIVIFIABLES À 36°-44H,,5.000000
07900082771,AMMONIUM (EN NH4),,0.000000
07900082771,NITRATES (EN NO3),<=50 mg/L,16.000000
07900082771,ODEUR (QUALITATIF),,0.000000
07900082771,PH ,,7.600000
07900082771,SAVEUR (QUALITATIF),,0.000000
07900082771,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07900082771,TEMPÉRATURE DE L'EAU,,9.900000
07900082771,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07900082776,ASPECT (QUALITATIF),,0.000000
07900082776,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07900082776,CONDUCTIVITÉ À 25°C,,730.000000
07900082776,CHLORE LIBRE,,0.250000
07900082776,CHLORE TOTAL,,0.300000
07900082776,COULEUR (QUALITATIF),,0.000000
07900082776,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07900082776,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07900082776,FER TOTAL,,2.000000
07900082776,FLUORURES MG/L,"<=1,5 mg/L",0.580000
07900082776,BACT. AÉR. REVIVIFIABLES À 22°-68H,,77.000000
07900082776,BACT. AÉR. REVIVIFIABLES À 36°-44H,,44.000000
07900082776,MANGANÈSE TOTAL,,1.400000
07900082776,AMMONIUM (EN NH4),,0.000000
07900082776,NITRATES (EN NO3),<=50 mg/L,7.900000
07900082776,ODEUR (QUALITATIF),,0.000000
07900082776,PH ,,7.700000
07900082776,SAVEUR (QUALITATIF),,0.000000
07900082776,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07900082776,TEMPÉRATURE DE L'EAU,,10.600000
07900082776,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
07900082779,ASPECT (QUALITATIF),,0.000000
07900082779,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
07900082779,CONDUCTIVITÉ À 25°C,,454.000000
07900082779,CHLORE LIBRE,,0.100000
07900082779,CHLORE TOTAL,,0.250000
07900082779,COULEUR (QUALITATIF),,0.000000
07900082779,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
07900082779,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
07900082779,BACT. AÉR. REVIVIFIABLES À 22°-68H,,4.000000
07900082779,BACT. AÉR. REVIVIFIABLES À 36°-44H,,2.000000
07900082779,AMMONIUM (EN NH4),,0.000000
07900082779,NITRATES (EN NO3),<=50 mg/L,7.200000
07900082779,ODEUR (QUALITATIF),,0.000000
07900082779,PH ,,7.800000
07900082779,SAVEUR (QUALITATIF),,0.000000
07900082779,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
07900082779,TEMPÉRATURE DE L'EAU,,9.800000
07900082779,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.340000
07900082814,ASPECT (QUALITATIF),,0.000000
