referenceprel,libmajparametre,limitequal,valtraduite
08200089520,ALUMINIUM TOTAL µG/L,,42.000000
08200089520,ASPECT (QUALITATIF),,0.000000
08200089520,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08200089520,CONDUCTIVITÉ À 25°C,,713.000000
08200089520,CHLORE LIBRE,,0.080000
08200089520,CHLORE TOTAL,,0.140000
08200089520,COLORATION,,0.000000
08200089520,COULEUR (QUALITATIF),,0.000000
08200089520,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08200089520,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08200089520,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08200089520,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
08200089520,AMMONIUM (EN NH4),,0.000000
08200089520,NITRATES (EN NO3),<=50 mg/L,31.400000
08200089520,ODEUR (QUALITATIF),,0.000000
08200089520,PH ,,7.900000
08200089520,PRÉLÈVEMENT SOUS ACRÉDITATION,,1.000000
08200089520,SAVEUR (QUALITATIF),,0.000000
08200089520,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08200089520,TEMPÉRATURE DE L'EAU,,9.000000
08200089520,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.170000
08200089531,ASPECT (QUALITATIF),,0.000000
08200089531,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08200089531,CONDUCTIVITÉ À 25°C,,601.000000
08200089531,CHLORE LIBRE,,0.260000
08200089531,CHLORE TOTAL,,0.340000
08200089531,COLORATION,,0.000000
08200089531,COULEUR (QUALITATIF),,0.000000
08200089531,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08200089531,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08200089531,FER TOTAL,,4.000000
08200089531,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08200089531,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08200089531,AMMONIUM (EN NH4),,0.000000
08200089531,ODEUR (QUALITATIF),,0.000000
08200089531,PH ,,7.800000
08200089531,PRÉLÈVEMENT SOUS ACRÉDITATION,,1.000000
08200089531,SAVEUR (QUALITATIF),,0.000000
08200089531,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08200089531,TEMPÉRATURE DE L'EAU,,9.000000
08200089531,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.120000
08200089621,ASPECT (QUALITATIF),,0.000000
08200089621,BROMATES,<=10 µg/L,0.000000
08200089621,BROMOFORME,<=100 µg/L,0.380000
08200089621,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08200089621,CONDUCTIVITÉ À 25°C,,640.000000
08200089621,CHLORE LIBRE,,1.130000
08200089621,CHLORE TOTAL,,1.220000
08200089621,CHLOROFORME,<=100 µg/L,8.800000
08200089621,COLORATION,,0.000000
08200089621,COULEUR (QUALITATIF),,0.000000
08200089621,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08200089621,CHLORODIBROMOMÉTHANE,<=100 µg/L,2.900000
08200089621,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,4.700000
08200089621,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08200089621,FER TOTAL,,3.000000
