referenceprel,libmajparametre,limitequal,valtraduite
05500122586,ASPECT (QUALITATIF),,0.000000
05500122586,CONDUCTIVITÉ À 25°C,,540.000000
05500122586,CHLORE LIBRE,,0.000000
05500122586,CHLORE TOTAL,,0.050000
05500122586,COLORATION,,0.000000
05500122586,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05500122586,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05500122586,BACT. AÉR. REVIVIFIABLES À 22°-68H,,13.000000
05500122586,BACT. AÉR. REVIVIFIABLES À 36°-44H,,15.000000
05500122586,AMMONIUM (EN NH4),,0.000000
05500122586,ODEUR (DILUTION À 25°C),,1.000000
05500122586,ODEUR (QUALITATIF),,0.000000
05500122586,PH ,,7.600000
05500122586,PH ,,7.400000
05500122586,SAVEUR (QUALITATIF),,2.000000
05500122586,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05500122586,TEMPÉRATURE DE L'EAU,,8.600000
05500122586,TEMPÉRATURE DE MESURE DU PH,,19.200000
05500122586,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.600000
05500122612,ASPECT (QUALITATIF),,0.000000
05500122612,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
05500122612,CONDUCTIVITÉ À 25°C,,670.000000
05500122612,CHLORE LIBRE,,0.050000
05500122612,CHLORE TOTAL,,0.090000
05500122612,COLORATION,,0.000000
05500122612,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05500122612,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05500122612,BACT. AÉR. REVIVIFIABLES À 22°-68H,,3.000000
05500122612,BACT. AÉR. REVIVIFIABLES À 36°-44H,,6.000000
05500122612,AMMONIUM (EN NH4),,0.000000
05500122612,ODEUR (DILUTION À 25°C),,1.000000
05500122612,ODEUR (QUALITATIF),,0.000000
05500122612,PH ,,7.700000
05500122612,SAVEUR PAR DILUTION À 25°C,,1.000000
05500122612,SAVEUR (QUALITATIF),,0.000000
05500122612,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05500122612,TEMPÉRATURE DE L'EAU,,8.800000
05500122612,TEMPÉRATURE DE MESURE DU PH,,20.500000
05500122612,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.400000
05500122620,ASPECT (QUALITATIF),,0.000000
05500122620,CONDUCTIVITÉ À 25°C,,660.000000
05500122620,CHLORE LIBRE,,0.140000
05500122620,CHLORE TOTAL,,0.200000
05500122620,COLORATION,,0.000000
05500122620,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
05500122620,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
05500122620,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
05500122620,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
05500122620,AMMONIUM (EN NH4),,0.000000
05500122620,ODEUR (DILUTION À 25°C),,1.000000
05500122620,ODEUR (QUALITATIF),,0.000000
05500122620,PH ,,7.700000
05500122620,SAVEUR (QUALITATIF),,2.000000
05500122620,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
05500122620,TEMPÉRATURE DE L'EAU,,7.800000
05500122620,TEMPÉRATURE DE MESURE DU PH,,20.100000
