referenceprel,libmajparametre,limitequal,valtraduite
03400327148,ALUMINIUM TOTAL µG/L,,
03400327148,ASPECT (QUALITATIF),,0.000000
03400327148,BROMATES,<=10 µg/L,
03400327148,BROMOFORME,<=100 µg/L,
03400327148,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
03400327148,CONDUCTIVITÉ À 25°C,,455.000000
03400327148,CHLORE LIBRE,,0.200000
03400327148,CHLORE TOTAL,,0.270000
03400327148,CHLOROFORME,<=100 µg/L,
03400327148,BIOXYDE DE CHLORE MG/L CLO2,,
03400327148,RÉSIDUEL DE CLO2 APRÈS DÉGAZAGE,,
03400327148,CARBONE ORGANIQUE TOTAL,,
03400327148,COLORATION,,0.000000
03400327148,COULEUR (QUALITATIF),,0.000000
03400327148,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
03400327148,CHLORODIBROMOMÉTHANE,<=100 µg/L,
03400327148,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,
03400327148,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
03400327148,FER TOTAL,,
03400327148,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
03400327148,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
03400327148,MANGANÈSE TOTAL,,
03400327148,AMMONIUM (EN NH4),,0.000000
03400327148,NITRATES (EN NO3),<=50 mg/L,
03400327148,ODEUR (QUALITATIF),,0.000000
03400327148,PH ,,7.800000
03400327148,SAVEUR (QUALITATIF),,0.000000
03400327148,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
03400327148,TEMPÉRATURE DE L'EAU,,8.100000
03400327148,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,
03400327148,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.160000
03400327347,ASPECT (QUALITATIF),,0.000000
03400327347,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
03400327347,CALCIUM,,60.300000
03400327347,CONDUCTIVITÉ À 25°C,,440.000000
03400327347,CHLORURES,,20.000000
03400327347,CHLORE LIBRE,,0.750000
03400327347,CHLORE TOTAL,,0.860000
03400327347,BIOXYDE DE CHLORE MG/L CLO2,,
03400327347,CARBONE ORGANIQUE TOTAL,,0.860000
03400327347,COLORATION,,0.000000
03400327347,COULEUR (QUALITATIF),,0.000000
03400327347,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
03400327347,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
03400327347,BACT. AÉR. REVIVIFIABLES À 22°-68H,,41.000000
03400327347,BACT. AÉR. REVIVIFIABLES À 36°-44H,,160.000000
03400327347,MAGNÉSIUM,,6.300000
03400327347,AMMONIUM (EN NH4),,0.000000
03400327347,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
03400327347,NITRATES (EN NO3),<=50 mg/L,6.300000
03400327347,ODEUR (QUALITATIF),,0.000000
03400327347,PH ,,7.400000
03400327347,SAVEUR (QUALITATIF),,0.000000
03400327347,SULFATES,,55.000000
03400327347,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
03400327347,TITRE ALCALIMÉTRIQUE COMPLET,,13.400000
03400327347,TEMPÉRATURE DE L'EAU,,16.900000
03400327347,TITRE HYDROTIMÉTRIQUE,,17.670000
03400327347,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,<=1 NFU,0.000000
03400327754,ALUMINIUM TOTAL µG/L,,
03400327754,ASPECT (QUALITATIF),,0.000000
03400327754,BROMATES,<=10 µg/L,
03400327754,BROMOFORME,<=100 µg/L,
03400327754,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
03400327754,CONDUCTIVITÉ À 25°C,,421.000000
03400327754,CHLORE LIBRE,,
03400327754,CHLORE TOTAL,,
03400327754,CHLOROFORME,<=100 µg/L,
03400327754,BIOXYDE DE CHLORE MG/L CLO2,,0.080000
03400327754,RÉSIDUEL DE CLO2 APRÈS DÉGAZAGE,,
03400327754,CARBONE ORGANIQUE TOTAL,,
03400327754,COLORATION,,0.000000
03400327754,COULEUR (QUALITATIF),,0.000000
03400327754,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
03400327754,CHLORODIBROMOMÉTHANE,<=100 µg/L,
03400327754,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,
03400327754,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
03400327754,FER TOTAL,,
03400327754,BACT. AÉR. REVIVIFIABLES À 22°-68H,,11.000000
03400327754,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
03400327754,MANGANÈSE TOTAL,,
03400327754,AMMONIUM (EN NH4),,0.000000
03400327754,NITRATES (EN NO3),<=50 mg/L,
03400327754,ODEUR (QUALITATIF),,0.000000
03400327754,PH ,,8.000000
03400327754,SAVEUR (QUALITATIF),,0.000000
03400327754,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
03400327754,TEMPÉRATURE DE L'EAU,,14.800000
03400327754,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,
03400327754,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.180000
03400328000,ALUMINIUM TOTAL µG/L,,
03400328000,ASPECT (QUALITATIF),,0.000000
03400328000,BROMATES,<=10 µg/L,
03400328000,BROMOFORME,<=100 µg/L,
03400328000,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
03400328000,CONDUCTIVITÉ À 25°C,,399.000000
03400328000,CHLORE LIBRE,,0.380000
03400328000,CHLORE TOTAL,,0.410000
03400328000,CHLOROFORME,<=100 µg/L,
03400328000,BIOXYDE DE CHLORE MG/L CLO2,,
03400328000,RÉSIDUEL DE CLO2 APRÈS DÉGAZAGE,,
03400328000,CARBONE ORGANIQUE TOTAL,,
03400328000,COLORATION,,0.000000
03400328000,COULEUR (QUALITATIF),,0.000000
03400328000,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
03400328000,CHLORODIBROMOMÉTHANE,<=100 µg/L,
03400328000,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,
03400328000,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
03400328000,FER TOTAL,,0.000000
03400328000,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
03400328000,BACT. AÉR. REVIVIFIABLES À 36°-44H,,1.000000
03400328000,MANGANÈSE TOTAL,,
03400328000,AMMONIUM (EN NH4),,0.000000
03400328000,NITRATES (EN NO3),<=50 mg/L,
03400328000,ODEUR (QUALITATIF),,0.000000
03400328000,PH ,,8.000000
03400328000,SAVEUR (QUALITATIF),,0.000000
03400328000,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
03400328000,TEMPÉRATURE DE L'EAU,,15.300000
03400328000,TRIHALOMÉTHANES (4 SUBSTANCES),<=100 µg/L,
03400328000,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
03400328004,ALUMINIUM TOTAL µG/L,,
03400328004,ASPECT (QUALITATIF),,0.000000
03400328004,BROMATES,<=10 µg/L,
03400328004,BROMOFORME,<=100 µg/L,
03400328004,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
03400328004,CONDUCTIVITÉ À 25°C,,388.000000
03400328004,CHLORE LIBRE,,0.130000
03400328004,CHLORE TOTAL,,0.140000
03400328004,CHLOROFORME,<=100 µg/L,
03400328004,BIOXYDE DE CHLORE MG/L CLO2,,
03400328004,RÉSIDUEL DE CLO2 APRÈS DÉGAZAGE,,
03400328004,CARBONE ORGANIQUE TOTAL,,
03400328004,COLORATION,,0.000000
03400328004,COULEUR (QUALITATIF),,0.000000
03400328004,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
03400328004,CHLORODIBROMOMÉTHANE,<=100 µg/L,
03400328004,DICHLOROMONOBROMOMÉTHANE,<=100 µg/L,
03400328004,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
03400328004,FER TOTAL,,
03400328004,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
03400328004,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
