referenceprel,libmajparametre,limitequal,valtraduite
09200148017,ASPECT (QUALITATIF),,0.000000
09200148017,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
09200148017,CONDUCTIVITÉ À 25°C,,634.000000
09200148017,CHLORURES,,26.100000
09200148017,CHLORE LIBRE,,0.440000
09200148017,CHLORE TOTAL,,0.520000
09200148017,CARBONE ORGANIQUE TOTAL,,1.300000
09200148017,COULEUR (QUALITATIF),,0.000000
09200148017,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148017,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148017,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200148017,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200148017,AMMONIUM (EN NH4),,0.000000
09200148017,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148017,NITRATES (EN NO3),<=50 mg/L,25.100000
09200148017,NITRATES/50 + NITRITES/3,<=1 mg/L,0.500000
09200148017,ODEUR (QUALITATIF),,0.000000
09200148017,PH ,,7.700000
09200148017,PH ,,7.500000
09200148017,SAVEUR (QUALITATIF),,0.000000
09200148017,SULFATES,,55.300000
09200148017,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148017,TITRE ALCALIMÉTRIQUE COMPLET,,20.300000
09200148017,TEMPÉRATURE DE L'EAU,,12.600000
09200148017,TITRE HYDROTIMÉTRIQUE,,29.400000
09200148017,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,<=1 NFU,0.180000
09200148063,ASPECT (QUALITATIF),,0.000000
09200148063,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
09200148063,CONDUCTIVITÉ À 25°C,,579.000000
09200148063,CHLORURES,,32.800000
09200148063,CHLORE LIBRE,,0.390000
09200148063,CHLORE TOTAL,,0.460000
09200148063,CARBONE ORGANIQUE TOTAL,,1.400000
09200148063,COULEUR (QUALITATIF),,0.000000
09200148063,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148063,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148063,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200148063,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200148063,AMMONIUM (EN NH4),,0.000000
09200148063,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148063,NITRATES (EN NO3),<=50 mg/L,28.500000
09200148063,NITRATES/50 + NITRITES/3,<=1 mg/L,0.570000
09200148063,ODEUR (QUALITATIF),,0.000000
09200148063,PH ,,7.700000
09200148063,PH ,,7.500000
09200148063,SAVEUR (QUALITATIF),,0.000000
09200148063,SULFATES,,41.600000
09200148063,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148063,TITRE ALCALIMÉTRIQUE COMPLET,,18.900000
09200148063,TEMPÉRATURE DE L'EAU,,19.100000
09200148063,TITRE HYDROTIMÉTRIQUE,,26.300000
09200148063,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,<=1 NFU,0.420000
09200148112,ASPECT (QUALITATIF),,0.000000
09200148112,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
09200148112,CONDUCTIVITÉ À 25°C,,476.000000
09200148112,CHLORURES,,27.000000
09200148112,CHLORE LIBRE,,0.310000
09200148112,CHLORE TOTAL,,0.370000
09200148112,CARBONE ORGANIQUE TOTAL,,0.610000
09200148112,COULEUR (QUALITATIF),,0.000000
09200148112,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148112,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148112,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200148112,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200148112,AMMONIUM (EN NH4),,0.000000
09200148112,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148112,NITRATES (EN NO3),<=50 mg/L,24.000000
09200148112,NITRATES/50 + NITRITES/3,<=1 mg/L,0.480000
09200148112,ODEUR (QUALITATIF),,0.000000
09200148112,PH ,,7.800000
09200148112,SAVEUR (QUALITATIF),,0.000000
09200148112,SULFATES,,15.000000
09200148112,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148112,TITRE ALCALIMÉTRIQUE COMPLET,,14.500000
09200148112,TEMPÉRATURE DE L'EAU,,11.900000
09200148112,TITRE HYDROTIMÉTRIQUE,,17.570000
09200148112,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,<=1 NFU,0.110000
09200148131,ASPECT (QUALITATIF),,0.000000
09200148131,CONDUCTIVITÉ À 25°C,,571.000000
09200148131,CHLORURES,,27.000000
09200148131,CHLORE LIBRE,,0.450000
09200148131,CHLORE TOTAL,,0.480000
09200148131,CARBONE ORGANIQUE TOTAL,,0.750000
09200148131,COLORATION,,0.000000
09200148131,COULEUR (QUALITATIF),,0.000000
09200148131,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148131,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148131,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200148131,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200148131,AMMONIUM (EN NH4),,0.000000
09200148131,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148131,NITRATES (EN NO3),<=50 mg/L,13.000000
09200148131,NITRATES/50 + NITRITES/3,<=1 mg/L,0.260000
09200148131,ODEUR (DILUTION À 25°C),,
09200148131,ODEUR (QUALITATIF),,0.000000
09200148131,PH ,,7.660000
09200148131,PH ,,7.500000
09200148131,SAVEUR PAR DILUTION À 25°C,,
09200148131,SAVEUR (QUALITATIF),,0.000000
09200148131,SULFATES,,73.000000
09200148131,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148131,TITRE ALCALIMÉTRIQUE COMPLET,,17.350000
09200148131,TEMPÉRATURE DE L'EAU,,14.300000
09200148131,TITRE HYDROTIMÉTRIQUE,,17.460000
09200148131,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
09200148142,ASPECT (QUALITATIF),,0.000000
09200148142,CONDUCTIVITÉ À 25°C,,737.000000
09200148142,CHLORURES,,44.000000
09200148142,CHLORE LIBRE,,0.560000
09200148142,CHLORE TOTAL,,0.630000
09200148142,CARBONE ORGANIQUE TOTAL,,0.600000
09200148142,COLORATION,,0.000000
09200148142,COULEUR (QUALITATIF),,0.000000
09200148142,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148142,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148142,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200148142,BACT. AÉR. REVIVIFIABLES À 36°-44H,,2.000000
09200148142,AMMONIUM (EN NH4),,0.000000
09200148142,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148142,NITRATES (EN NO3),<=50 mg/L,33.000000
09200148142,NITRATES/50 + NITRITES/3,<=1 mg/L,0.660000
09200148142,ODEUR (DILUTION À 25°C),,
09200148142,ODEUR (QUALITATIF),,0.000000
09200148142,PH ,,7.710000
09200148142,PH ,,7.700000
09200148142,SAVEUR PAR DILUTION À 25°C,,
09200148142,SAVEUR (QUALITATIF),,0.000000
09200148142,SULFATES,,70.000000
09200148142,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148142,TITRE ALCALIMÉTRIQUE COMPLET,,21.000000
09200148142,TEMPÉRATURE DE L'EAU,,13.000000
09200148142,TITRE HYDROTIMÉTRIQUE,,18.420000
09200148142,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.220000
09200148164,ASPECT (QUALITATIF),,0.000000
09200148164,CONDUCTIVITÉ À 25°C,,658.000000
09200148164,CHLORURES,,34.000000
09200148164,CHLORE LIBRE,,0.510000
09200148164,CHLORE TOTAL,,0.590000
09200148164,CARBONE ORGANIQUE TOTAL,,0.760000
09200148164,COLORATION,,0.000000
09200148164,COULEUR (QUALITATIF),,0.000000
09200148164,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200148164,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200148164,BACT. AÉR. REVIVIFIABLES À 22°-68H,,1.000000
09200148164,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200148164,AMMONIUM (EN NH4),,0.000000
09200148164,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
09200148164,NITRATES (EN NO3),<=50 mg/L,14.000000
09200148164,NITRATES/50 + NITRITES/3,<=1 mg/L,0.280000
09200148164,ODEUR (DILUTION À 25°C),,
09200148164,ODEUR (QUALITATIF),,0.000000
09200148164,PH ,,7.930000
09200148164,PH ,,7.800000
09200148164,SAVEUR PAR DILUTION À 25°C,,
09200148164,SAVEUR (QUALITATIF),,0.000000
09200148164,SULFATES,,100.000000
09200148164,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
09200148164,TITRE ALCALIMÉTRIQUE COMPLET,,17.850000
09200148164,TEMPÉRATURE DE L'EAU,,11.900000
09200148164,TITRE HYDROTIMÉTRIQUE,,18.120000
09200148164,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.150000
09200150037,ALUMINIUM TOTAL µG/L,,27.000000
09200150037,ASPECT (QUALITATIF),,0.000000
09200150037,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
09200150037,CONDUCTIVITÉ À 25°C,,462.000000
09200150037,CHLORE LIBRE,,0.210000
09200150037,CHLORE TOTAL,,0.240000
09200150037,COLORATION,,0.000000
09200150037,COULEUR (QUALITATIF),,0.000000
09200150037,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
09200150037,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
09200150037,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
09200150037,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
09200150037,AMMONIUM (EN NH4),,0.000000
09200150037,ODEUR (DILUTION À 25°C),,
