referenceprel,libmajparametre,limitequal,valtraduite
08400135135,ASPECT (QUALITATIF),,0.000000
08400135135,CONDUCTIVITÉ À 25°C,,570.000000
08400135135,CHLORE LIBRE,,0.410000
08400135135,CHLORE TOTAL,,0.460000
08400135135,COULEUR (QUALITATIF),,0.000000
08400135135,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08400135135,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08400135135,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08400135135,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08400135135,AMMONIUM (EN NH4),,0.000000
08400135135,ODEUR (QUALITATIF),,0.000000
08400135135,PH ,,7.600000
08400135135,SAVEUR (QUALITATIF),,0.000000
08400135135,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08400135135,TEMPÉRATURE DE L'EAU,,12.200000
08400135135,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.000000
08400135602,ASPECT (QUALITATIF),,0.000000
08400135602,CONDUCTIVITÉ À 25°C,,343.000000
08400135602,CHLORE LIBRE,,0.140000
08400135602,CHLORE TOTAL,,0.170000
08400135602,COULEUR (QUALITATIF),,0.000000
08400135602,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08400135602,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08400135602,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08400135602,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08400135602,AMMONIUM (EN NH4),,0.000000
08400135602,ODEUR (QUALITATIF),,0.000000
08400135602,PH ,,8.100000
08400135602,SAVEUR (QUALITATIF),,0.000000
08400135602,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08400135602,TEMPÉRATURE DE L'EAU,,9.000000
08400135602,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.520000
08400135833,ALUMINIUM TOTAL µG/L,,0.000000
08400135833,ASPECT (QUALITATIF),,0.000000
08400135833,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08400135833,CONDUCTIVITÉ À 25°C,,595.000000
08400135833,CHLORE LIBRE,,0.400000
08400135833,CHLORE TOTAL,,0.460000
08400135833,COULEUR (QUALITATIF),,0.000000
08400135833,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08400135833,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08400135833,FER TOTAL,,0.000000
08400135833,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08400135833,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08400135833,MANGANÈSE TOTAL,,0.000000
08400135833,AMMONIUM (EN NH4),,0.000000
08400135833,ODEUR (QUALITATIF),,0.000000
08400135833,PH ,,7.600000
08400135833,SAVEUR (QUALITATIF),,0.000000
08400135833,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08400135833,TEMPÉRATURE DE L'EAU,,17.700000
08400135833,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.390000
08400136151,ASPECT (QUALITATIF),,0.000000
