referenceprel,libmajparametre,limitequal,valtraduite
08300294784,ASPECT (QUALITATIF),,0.000000
08300294784,CONDUCTIVITÉ À 25°C,,543.000000
08300294784,CHLORE LIBRE,,0.000000
08300294784,CHLORE TOTAL,,0.000000
08300294784,COULEUR (QUALITATIF),,0.000000
08300294784,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08300294784,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08300294784,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08300294784,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08300294784,AMMONIUM (EN NH4),,0.000000
08300294784,ODEUR (QUALITATIF),,0.000000
08300294784,PH ,,7.700000
08300294784,SAVEUR (QUALITATIF),,0.000000
08300294784,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08300294784,TEMPÉRATURE DE L'EAU,,22.400000
08300294784,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.280000
08300295009,ASPECT (QUALITATIF),,0.000000
08300295009,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08300295009,CONDUCTIVITÉ À 25°C,,832.000000
08300295009,CHLORE LIBRE,,0.580000
08300295009,CHLORE TOTAL,,0.650000
08300295009,COULEUR (QUALITATIF),,0.000000
08300295009,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08300295009,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08300295009,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08300295009,BACT. AÉR. REVIVIFIABLES À 36°-44H,,5.000000
08300295009,AMMONIUM (EN NH4),,0.000000
08300295009,ODEUR (QUALITATIF),,0.000000
08300295009,PH ,,7.400000
08300295009,SAVEUR (QUALITATIF),,0.000000
08300295009,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08300295009,TEMPÉRATURE DE L'EAU,,23.400000
08300295009,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.260000
08300295474,ASPECT (QUALITATIF),,0.000000
08300295474,CONDUCTIVITÉ À 25°C,,643.000000
08300295474,CHLORURES,,6.700000
08300295474,CHLORE LIBRE,,0.370000
08300295474,CHLORE TOTAL,,0.400000
08300295474,ANHYDRIDE CARBONIQUE LIBRE,,33.400000
08300295474,CARBONATES,,0.000000
08300295474,COULEUR (QUALITATIF),,0.000000
08300295474,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08300295474,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08300295474,BACT. AÉR. REVIVIFIABLES À 22°-68H,,0.000000
08300295474,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08300295474,HYDROGÉNOCARBONATES,,443.000000
08300295474,AMMONIUM (EN NH4),,0.000000
08300295474,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
08300295474,NITRATES (EN NO3),<=50 mg/L,1.000000
08300295474,NITRATES/50 + NITRITES/3,<=1 mg/L,0.020000
08300295474,ODEUR (QUALITATIF),,0.000000
08300295474,PH ,,7.300000
08300295474,SAVEUR (QUALITATIF),,0.000000
08300295474,SULFATES,,12.000000
08300295474,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08300295474,TITRE ALCALIMÉTRIQUE,,0.000000
08300295474,TITRE ALCALIMÉTRIQUE COMPLET,,36.300000
08300295474,TEMPÉRATURE DE L'EAU,,19.100000
08300295474,TITRE HYDROTIMÉTRIQUE,,36.880000
08300295474,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,,0.260000
08300296437,ASPECT (QUALITATIF),,0.000000
08300296437,BACT. ET SPORES SULFITO-RÉDU./100ML,,0.000000
08300296437,CONDUCTIVITÉ À 25°C,,383.000000
08300296437,CHLORURES,,22.000000
08300296437,CHLORE LIBRE,,0.000000
08300296437,CHLORE TOTAL,,0.050000
08300296437,ANHYDRIDE CARBONIQUE LIBRE,,0.000000
08300296437,CARBONATES,,0.000000
08300296437,COULEUR (QUALITATIF),,0.000000
08300296437,BACTÉRIES COLIFORMES /100ML-MS,,0.000000
08300296437,ESCHERICHIA COLI /100ML - MF,<=0 n/(100mL),0.000000
08300296437,BACT. AÉR. REVIVIFIABLES À 22°-68H,,2.000000
08300296437,BACT. AÉR. REVIVIFIABLES À 36°-44H,,0.000000
08300296437,HYDROGÉNOCARBONATES,,190.000000
08300296437,AMMONIUM (EN NH4),,0.000000
08300296437,NITRITES (EN NO2),"<=0,1 mg/L",0.000000
08300296437,NITRATES (EN NO3),<=50 mg/L,0.000000
08300296437,NITRATES/50 + NITRITES/3,<=1 mg/L,0.000000
08300296437,ODEUR (QUALITATIF),,0.000000
08300296437,PH ,,8.000000
08300296437,SAVEUR (QUALITATIF),,0.000000
08300296437,SULFATES,,28.000000
08300296437,ENTÉROCOQUES /100ML-MS,<=0 n/(100mL),0.000000
08300296437,TITRE ALCALIMÉTRIQUE,,0.000000
08300296437,TITRE ALCALIMÉTRIQUE COMPLET,,15.600000
08300296437,TEMPÉRATURE DE L'EAU,,20.800000
08300296437,TITRE HYDROTIMÉTRIQUE,,16.940000
08300296437,TURBIDITÉ NÉPHÉLOMÉTRIQUE NFU,<=1 NFU,0.210000
08300297485,ASPECT (QUALITATIF),,0.000000
08300297485,CONDUCTIVITÉ À 25°C,,400.000000
08300297485,CHLORE LIBRE,,0.230000
08300297485,CHLORE TOTAL,,0.250000
08300297485,COULEUR (QUALITATIF),,0.000000
